TC6 scheduled/num_streams 1107/2463 = 44.95%
k: 3 (9.0, '%', 'unscheduled', 301, 'total', 329, 'e2e too large', [558, 2245, 856, 2039, 655, 744, 1002, 1380, 1868, 1261, 1874, 104, 505, 977, 1812, 90, 263, 670, 1329, 884, 1426, 248, 1841, 1852, 976, 2182, 172, 303, 496, 1405, 1754, 160, 843, 265, 1026, 1890, 1904, 2370, 191, 484, 2234, 781, 1137, 2037, 152, 338, 1941, 602, 169, 360, 908, 1148, 1533, 2206, 2380, 346, 758, 2375, 454, 1404, 1902, 464, 364, 1779, 14, 483, 762, 2448, 2450, 422, 2121, 1892, 792, 2416, 1435, 1596, 1997, 1085, 1384, 1848, 7, 386, 1040, 354, 1206, 2160, 2309, 1630, 738, 202, 237, 286, 1208, 1532, 1547, 1801, 1986, 2125, 830, 1415, 675, 727, 923, 1350, 1397, 2042, 747, 1089, 1241, 1672, 2312, 51, 543, 406, 1242, 1327, 114, 1464, 63, 1168, 1540, 1923, 42, 677, 2076, 628, 995, 750, 1303, 2374, 125, 644, 731, 966, 1515, 1616, 2355, 1506, 2093, 1511, 2087, 2342, 2395, 409, 723, 1260, 633, 664, 1642, 1798, 2122, 27, 219, 448, 635, 1530, 1949, 289, 2013, 2054, 1627, 2334, 953, 994, 1331, 789, 816, 1608, 1660, 2257, 328, 1290, 2420, 311, 1768, 1889, 805, 957, 614, 1073, 1689, 1745, 30, 190, 1227, 1385, 967, 1015, 1337, 1423, 2296, 424, 231, 889, 1687, 1762, 127, 958, 1442, 82, 1590, 1128, 1550, 216, 779, 1771, 2137, 2381, 43, 1620, 17, 983, 1637, 396, 1564, 586, 591, 1847, 31, 385, 563, 1068, 1664, 2426, 1696, 1887, 748, 1502, 1020, 1105, 1807, 2164, 2082, 581, 1091, 1255, 2012, 662, 1711, 2316, 2397, 188, 1349, 1824, 624, 2120, 928, 1205, 1937, 1510, 1934, 393, 1174, 148, 174, 1263, 1340, 2258, 867, 1677, 1850, 389, 1586, 1654, 420, 1458, 1628, 1863, 2016, 8, 1796, 2077, 1859, 2190, 955, 68, 1424, 1830, 2373, 556, 831, 1200, 2462, 244, 834, 839, 306, 2345, 19, 2285, 2304, 666, 1167, 1667, 2413, 117, 2114, 1452, 1916, 398, 607], 'bandwidth violation', [])
 cycle_time: 500us bandwidth: 31250.0bytes k: 2 (55.00000000000001, '%', 'unscheduled', 333, 'total', 739, 'e2e too large', [2432, 2455, 1729, 142, 35, 1765, 1935, 444, 1895, 2140, 16, 159, 461, 742, 519, 1853, 383, 658, 673, 193, 1249, 468, 1802, 20, 1930, 455, 645, 333, 920, 788, 1463, 318, 774, 2293, 1046, 2213, 2064, 167, 533, 1862, 621, 984, 1621, 2222, 280, 1792, 2149, 568, 1879, 1022, 1990, 2387, 1306, 2063, 182, 276, 1184, 702, 873, 207, 950, 85, 588, 1929, 1321, 1259, 557, 143, 630, 620, 1813, 982, 111, 1081, 1021, 2228, 800, 26, 334, 342, 220, 1090, 180, 2434, 488, 988, 1634, 2018, 1107, 1139, 1212, 1833, 1666, 652, 2359, 539, 737, 1196, 476, 2035, 1656, 1325, 1185, 1239, 1188, 426, 804, 2091, 1379, 1178, 1545, 2106, 1030, 397, 1039, 1328, 391, 233, 1714, 2128, 769, 2365, 1508, 1061, 22, 2095, 39, 1152, 1313, 2221, 2259, 281, 1400, 2145, 187, 465, 1924, 2410, 118, 1592, 252, 1025, 1555, 574, 295, 2441, 92, 227, 1138, 1162, 2019, 2299, 1865, 1866, 1907, 1891, 1598, 378, 1921, 2272, 2425, 2270, 329, 384, 905, 1296, 2136, 1314, 1483, 733, 308, 946, 1527, 501, 697, 921, 1135, 719, 1310, 1373, 1671, 608, 807, 956, 991, 1775, 2356, 2126, 1880, 940, 2427, 653, 962, 1301, 1536, 516, 1360, 1537, 2030, 1132, 1505, 1751, 1886, 447, 327, 89, 500, 1307, 1615, 1251, 2099, 741, 2193, 656, 1062, 2055, 251, 559, 1808, 1692, 2390, 429, 1450, 2372, 62, 486, 1358, 1985, 59, 109, 1106, 1209, 299, 1617, 1220, 1342, 155, 1198, 550, 605, 2295, 38, 1581, 797, 1466, 481, 1336, 1221, 1670, 1141, 1752, 166, 578, 634, 1797, 2274, 1029, 1657, 520, 1438, 2086, 217, 909, 1410, 371, 1421, 2159, 617, 1280, 1403, 2017, 312, 79, 2104, 1644, 715, 1250, 204, 2383, 832, 876, 785, 1284, 336, 403, 1871, 963, 2385, 2360, 952, 1378, 1780, 2181, 818, 848, 943, 2034, 1562, 3, 147, 1348, 1553, 1560, 2029, 597, 1905, 67, 255, 1963, 1673, 399, 610, 1470, 103, 1685, 1650, 2405, 1971, 1793, 390, 2398, 2361, 10, 870, 340, 740, 1076, 1417, 794, 1569, 1541, 1179, 532], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 15625.0bytes k: 1 (48.0, '%', 'unscheduled', 722, 'total', 1395, 'e2e too large', [1110, 1437, 2133, 2265, 979, 996, 1914, 379, 1823, 443, 2168, 2461, 283, 711, 1019, 1773, 2079, 473, 1462, 2162, 528, 1118, 1354, 2020, 752, 947, 1447, 1443, 1487, 1683, 643, 2254, 11, 851, 897, 526, 1047, 1661, 1791, 1855, 184, 2033, 1218, 1686, 450, 1453, 1720, 1494, 2428, 1789, 1998, 140, 75, 2436, 136, 2275, 2401, 230, 1027, 1665, 1539, 1579, 1279, 993, 2102, 275, 1289, 256, 1316, 1164, 1583, 1966, 2430, 1066, 2273, 751, 642, 1240, 1075, 842, 1460, 1548, 1647, 1115, 2163, 1504, 2060, 692, 632, 1829, 2117, 2433, 60, 304, 2044, 2107, 504, 623, 1643, 260, 1108, 2445, 1211, 1760, 2349, 916, 1407, 1045, 590, 594, 648, 80, 1060, 2454, 107, 1172, 134, 1232, 1982, 1231, 2231, 1237, 1300, 1519, 1334, 801, 2050, 1175, 552, 1080, 1806, 1275, 2294, 2324, 2210, 2399, 58, 294, 547, 1192, 288, 350, 755, 1705, 777, 1125, 416, 1169, 271, 2170, 2418, 1330, 2321, 786, 1645, 2290, 285, 694, 766, 300, 603, 2151, 421, 1872, 1282, 1655, 348, 1345, 1467, 418, 961, 1131, 1772, 2437, 671, 695, 1098, 2014, 1599, 2144, 324, 1229, 1844, 359, 948, 1181, 1861, 395, 1053, 2457, 2212, 1069, 498, 565, 1573, 2458, 1448, 2001, 674, 1926, 1952, 1366, 1967, 791, 1147, 896, 1323, 2424, 1243, 1790, 36, 164, 2333, 2038, 1784, 499, 743, 1794, 2319, 317, 489, 910, 1894, 1194, 1230, 1514, 441, 1838, 2325, 939, 763, 2443, 2169, 745], 'bandwidth violation', [2280, 1593, 2083, 1697, 428, 1294, 1947, 1885, 2268, 1678, 302, 1272, 1043, 1613, 899, 25, 1574, 699, 1958, 1945, 1096, 415, 2152, 1449, 1509, 2208, 1882, 2393, 985, 954, 1271, 1728, 432, 449, 1451, 69, 1370, 1499, 372, 2435, 1439, 990, 2341, 435, 1869, 811, 2127, 186, 290, 2224, 716, 298, 258, 1052, 2366, 709, 693, 2186, 1363, 593, 1160, 135, 1071, 200, 883, 527, 1270, 1604, 1703, 1500, 223, 1980, 922, 970, 2442, 1787, 2052, 1420, 2040, 1412, 2203, 1639, 1953, 2066, 269, 825, 1576, 93, 1151, 1056, 2400, 2415, 560, 1785, 2200, 2220, 2391, 945, 1199, 2067, 1809, 1819, 2, 1774, 2158, 535, 2407, 1716, 1987, 1376, 545, 1157, 2453, 2368, 914, 1023, 1910, 1201, 132, 150, 1955, 919, 1367, 684, 1999, 214, 2392, 1676, 1432, 1822, 2403, 2146, 2317, 91, 112, 2157, 1496, 97, 924, 2431, 1609, 554, 2141, 1607, 2408, 1283, 1747, 631, 691, 2376, 1009, 1166, 2429, 1479, 113, 1428, 1898, 21, 297, 277, 2068, 864, 1821, 2045, 872, 734, 1288, 1305, 915, 502, 2382, 1149, 2320, 575, 1171, 451, 262, 579, 2053, 1957, 888, 1126, 1079, 783, 1688, 1295, 284, 944, 577, 564, 646, 710, 1899, 1759, 681, 1476, 1078, 2452, 1825, 238, 514, 1739, 2051, 1086, 1471, 1474, 241, 2005, 1140, 1032, 551, 1444, 1724, 1144, 2088, 1741, 1969, 2032, 456, 1355, 1725, 2314, 718, 669, 1641, 2124, 1826, 819, 2196, 968, 2412, 517, 1159, 1113, 2036, 402, 604, 235, 606, 1143, 973, 2226, 201, 1766, 663, 1864, 76, 381, 2338, 1526, 1004, 2332, 879, 1977, 380, 57, 480, 2028, 153, 130, 1357, 1619, 1497, 549, 1398, 1965, 1158, 1491, 609, 2171, 2347, 218, 414, 1551, 2097, 175, 1101, 1717, 926, 245, 619, 1010, 1571, 978, 1396, 40, 1933, 941, 1870, 767, 1740, 795, 506, 2027, 1735, 1649, 1565, 373, 1629, 156, 951, 1343, 890, 1013, 1846, 2326, 119, 1690, 1095, 1591, 1099, 2311, 1372, 1944, 2346, 2204, 1189, 1594, 2000, 1267, 332, 1317, 1767, 1888, 485, 1293, 1721, 877, 1984, 1319, 728, 2147, 2249, 1726, 48, 592, 809, 72, 1663, 322, 1968, 1817, 639, 2155, 1127, 638, 1625, 2305, 536, 687, 123, 2315, 1693, 2011, 929, 2188, 992, 88, 1708, 2283, 1190, 1392, 2178, 1441, 56, 1361, 29, 1299, 1857, 878, 1873, 2354, 2177, 2166, 368, 717, 1264, 50, 1682, 589, 690, 537, 1811, 1632, 2143, 365, 1523, 725, 2070, 1433, 341, 279, 987, 1552, 622, 618, 1248, 1269, 44, 47, 855, 1018, 344, 1534, 1265, 1835, 367, 555, 764, 165, 724, 2092, 2417, 305, 1731, 301, 2096, 1262, 1746, 1501, 1427, 189, 569, 798, 1011, 2154, 2214, 1983, 2358, 1388, 1182, 2377, 215, 458, 828, 2232, 1757, 171, 704, 439, 511, 1954, 907, 1224, 434, 1414, 599, 679, 688, 49, 2384, 1915, 1117, 18, 1803, 2219, 2276, 1136, 427, 1695, 1638, 696, 1756, 863, 846, 1082, 1469, 2057, 1495, 1827, 1347, 66, 706, 2378, 1440, 1459, 722, 735, 2362, 1274, 1204, 965, 765, 1840, 2161, 2189, 2138, 1481])
 cycle_time: 125us bandwidth: 6250.0bytes Stream: id 2280 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_7_1 | period 20.0| deadline 4.8 | size 757| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'node0_0_7_1']['q7', 'q6', 'q5']
Stream: id 2417 | k_group 1 | q_n 3 | node0_0_0_2->node0_0_5_2 | period 8.0| deadline 4.8 | size 609| injection delay:0['node0_0_0_2', 'sw_0_0', 'sw_0_5', 'node0_0_5_2']['q6', 'q5']
Stream: id 1110 | k_group 1 | q_n 3 | node0_0_2_4->node0_0_10_4 | period 20.0| deadline 4.808 | size 511| injection delay:0['node0_0_2_4', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'node0_0_10_4']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 1271 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_5_0 | period 20.0| deadline 4.808 | size 543| injection delay:0['node0_0_3_1', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'node0_0_5_0']['q7', 'q6', 'q5']
Stream: id 1437 | k_group 1 | q_n 3 | node0_0_6_2->node0_0_10_0 | period 8.0| deadline 4.808 | size 355| injection delay:0['node0_0_6_2', 'sw_0_6', 'sw_0_11', 'sw_0_10', 'node0_0_10_0']['q6', 'q5', 'q7']
Stream: id 2133 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_7_1 | period 20.0| deadline 4.816 | size 224| injection delay:0['node0_0_3_1', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'node0_0_7_1']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 2265 | k_group 1 | q_n 3 | node0_0_11_1->node0_0_5_3 | period 40.0| deadline 4.824 | size 335| injection delay:0['node0_0_11_1', 'sw_0_11', 'sw_0_10', 'sw_0_9', 'sw_0_5', 'node0_0_5_3']['q7', 'q6', 'q5', 'q7']
Stream: id 412 | k_group 1 | q_n 3 | node0_0_8_2->node0_0_8_1 | period 40.0| deadline 4.832 | size 237| injection delay:0['node0_0_8_2', 'sw_0_8', 'node0_0_8_1']['q7']
Stream: id 979 | k_group 1 | q_n 3 | node0_0_2_4->node0_0_11_0 | period 20.0| deadline 4.832 | size 631| injection delay:0['node0_0_2_4', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'sw_0_6', 'sw_0_11', 'node0_0_11_0']['q6', 'q5', 'q7', 'q5', 'q7', 'q6', 'q5']
Stream: id 996 | k_group 1 | q_n 3 | node0_0_11_1->node0_0_8_3 | period 40.0| deadline 4.832 | size 411| injection delay:0['node0_0_11_1', 'sw_0_11', 'sw_0_10', 'sw_0_9', 'sw_0_8', 'node0_0_8_3']['q6', 'q5', 'q7', 'q6']
Stream: id 1109 | k_group 1 | q_n 3 | node0_0_7_2->node0_0_7_0 | period 40.0| deadline 4.832 | size 161| injection delay:0['node0_0_7_2', 'sw_0_7', 'node0_0_7_0']['q7']
Stream: id 1914 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_10_3 | period 8.0| deadline 4.832 | size 99| injection delay:0['node0_0_2_0', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'node0_0_10_3']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 379 | k_group 1 | q_n 3 | node0_0_3_2->node0_0_6_0 | period 20.0| deadline 4.848 | size 256| injection delay:0['node0_0_3_2', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'sw_0_6', 'node0_0_6_0']['q7', 'q6', 'q5', 'q7', 'q6', 'q5', 'q7']
Stream: id 1516 | k_group 1 | q_n 3 | node0_0_9_0->node0_0_7_4 | period 40.0| deadline 4.856 | size 273| injection delay:0['node0_0_9_0', 'sw_0_9', 'sw_0_8', 'sw_0_7', 'node0_0_7_4']['q7', 'q6', 'q5']
Stream: id 1823 | k_group 1 | q_n 3 | node0_0_3_2->node0_0_6_1 | period 20.0| deadline 4.856 | size 559| injection delay:0['node0_0_3_2', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'sw_0_6', 'node0_0_6_1']['q7', 'q6', 'q5', 'q7', 'q6', 'q5', 'q7']
Stream: id 443 | k_group 1 | q_n 3 | node0_0_11_3->node0_0_8_0 | period 8.0| deadline 4.864 | size 700| injection delay:0['node0_0_11_3', 'sw_0_11', 'sw_0_10', 'sw_0_9', 'sw_0_8', 'node0_0_8_0']['q7', 'q6', 'q5', 'q7']
Stream: id 1386 | k_group 1 | q_n 3 | node0_0_2_4->node0_0_0_3 | period 40.0| deadline 4.864 | size 213| injection delay:0['node0_0_2_4', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_3']['q7', 'q6', 'q5']
Stream: id 2168 | k_group 1 | q_n 3 | node0_0_9_0->node0_0_1_2 | period 8.0| deadline 4.864 | size 161| injection delay:0['node0_0_9_0', 'sw_0_9', 'sw_0_8', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q6', 'q5', 'q6', 'q7']
Stream: id 2461 | k_group 1 | q_n 3 | node0_0_11_1->node0_0_5_3 | period 20.0| deadline 4.864 | size 343| injection delay:0['node0_0_11_1', 'sw_0_11', 'sw_0_10', 'sw_0_9', 'sw_0_5', 'node0_0_5_3']['q7', 'q6', 'q5', 'q7']
Stream: id 283 | k_group 1 | q_n 3 | node0_0_2_4->node0_0_11_4 | period 40.0| deadline 4.872 | size 334| injection delay:0['node0_0_2_4', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'sw_0_11', 'node0_0_11_4']['q7', 'q6', 'q5', 'q7', 'q6', 'q5', 'q7']
Stream: id 1522 | k_group 1 | q_n 3 | node0_0_7_2->node0_0_7_0 | period 8.0| deadline 4.872 | size 563| injection delay:0['node0_0_7_2', 'sw_0_7', 'node0_0_7_0']['q7']
Stream: id 711 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_6_1 | period 8.0| deadline 4.88 | size 196| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'sw_0_6', 'node0_0_6_1']['q6', 'q5', 'q7', 'q6', 'q5', 'q7']
Stream: id 1019 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_2_1 | period 40.0| deadline 4.88 | size 702| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_1']['q7', 'q6', 'q5', 'q7']
Stream: id 1773 | k_group 1 | q_n 3 | node0_0_2_4->node0_0_10_0 | period 8.0| deadline 4.88 | size 297| injection delay:0['node0_0_2_4', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'node0_0_10_0']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 2079 | k_group 1 | q_n 3 | node0_0_11_1->node0_0_8_3 | period 8.0| deadline 4.888 | size 199| injection delay:0['node0_0_11_1', 'sw_0_11', 'sw_0_10', 'sw_0_9', 'sw_0_8', 'node0_0_8_3']['q7', 'q6', 'q5', 'q7']
Stream: id 2110 | k_group 1 | q_n 3 | node0_0_7_2->node0_0_6_0 | period 20.0| deadline 4.888 | size 81| injection delay:0['node0_0_7_2', 'sw_0_7', 'sw_0_6', 'node0_0_6_0']['q7', 'q6']
Stream: id 473 | k_group 1 | q_n 3 | node0_0_9_0->node0_0_6_1 | period 20.0| deadline 4.896 | size 510| injection delay:0['node0_0_9_0', 'sw_0_9', 'sw_0_8', 'sw_0_7', 'sw_0_6', 'node0_0_6_1']['q7', 'q6', 'q5', 'q7']
Stream: id 1215 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_2_1 | period 40.0| deadline 4.896 | size 749| injection delay:0['node0_0_2_2', 'sw_0_2', 'node0_0_2_1']['q7']
Stream: id 1451 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_5_0 | period 8.0| deadline 4.896 | size 499| injection delay:0['node0_0_3_1', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'node0_0_5_0']['q7', 'q6', 'q5']
Stream: id 1462 | k_group 1 | q_n 3 | node0_0_6_3->node0_0_5_3 | period 8.0| deadline 4.896 | size 236| injection delay:0['node0_0_6_3', 'sw_0_6', 'sw_0_7', 'sw_0_8', 'sw_0_0', 'sw_0_5', 'node0_0_5_3']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 2162 | k_group 1 | q_n 3 | node0_0_1_1->node0_0_11_2 | period 20.0| deadline 4.896 | size 356| injection delay:0['node0_0_1_1', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'sw_0_11', 'node0_0_11_2']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 2209 | k_group 1 | q_n 3 | node0_0_6_2->node0_0_10_0 | period 40.0| deadline 4.896 | size 232| injection delay:0['node0_0_6_2', 'sw_0_6', 'sw_0_11', 'sw_0_10', 'node0_0_10_0']['q7', 'q6', 'q5']
Stream: id 528 | k_group 1 | q_n 3 | node0_0_9_3->node0_0_6_0 | period 40.0| deadline 4.904 | size 760| injection delay:1['node0_0_9_3', 'sw_0_9', 'sw_0_8', 'sw_0_7', 'sw_0_6', 'node0_0_6_0']['q6', 'q5', 'q7', 'q6']
Stream: id 1118 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_6_1 | period 8.0| deadline 4.904 | size 261| injection delay:0['node0_0_1_3', 'sw_0_1', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'sw_0_6', 'node0_0_6_1']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 1354 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_5_0 | period 20.0| deadline 4.904 | size 339| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'node0_0_5_0']['q7', 'q6', 'q5', 'q7']
Stream: id 2020 | k_group 1 | q_n 3 | node0_0_6_4->node0_0_2_1 | period 40.0| deadline 4.904 | size 520| injection delay:1['node0_0_6_4', 'sw_0_6', 'sw_0_7', 'sw_0_8', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_1']['q7', 'q5', 'q6', 'q7', 'q6', 'q5']
