FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_2,500,1534,node0_0_3_4|P5-sw_0_3|e46|4|node0_0_3_3
VLAN_0_Flow_5,625,887,node0_0_8_2|P2-sw_0_8|e21|7|P2-sw_0_9|e38|6|P1-sw_0_10|e60|5|P5-sw_0_11|e64|7|node0_0_11_3
VLAN_0_Flow_7,375,873,node0_0_4_0|P4-sw_0_4|e35|6|node0_0_4_2
VLAN_0_Flow_8,750,1344,node0_0_2_3|P1-sw_0_2|e26|4|P3-sw_0_3|e44|3|node0_0_3_1
VLAN_0_Flow_10,1250,1483,node0_0_11_0|P1-sw_0_11|e60|4|P0-sw_0_10|e38|3|P1-sw_0_9|e21|4|P4-sw_0_8|e23|3|node0_0_8_1
VLAN_0_Flow_13,500,741,node0_0_11_1|P1-sw_0_11|e60|7|P0-sw_0_10|e38|6|P5-sw_0_9|e41|5|node0_0_9_2
VLAN_0_Flow_16,625,852,node0_0_9_0|P1-sw_0_9|e21|7|P1-sw_0_8|e20|6|P1-sw_0_7|e48|5|P5-sw_0_6|e53|7|node0_0_6_3
VLAN_0_Flow_18,1250,1340,node0_0_9_1|P0-sw_0_9|e15|4|P1-sw_0_5|e14|3|P1-sw_0_4|e32|4|P4-sw_0_3|e45|3|node0_0_3_2
VLAN_0_Flow_19,750,891,node0_0_8_0|P2-sw_0_8|e21|6|P2-sw_0_9|e38|5|P1-sw_0_10|e60|7|P6-sw_0_11|e65|6|node0_0_11_4
VLAN_0_Flow_21,1000,1486,node0_0_11_1|P0-sw_0_11|e49|4|P0-sw_0_6|e48|3|P3-sw_0_7|e56|4|node0_0_7_1
VLAN_0_Flow_25,1250,1582,node0_0_3_0|P1-sw_0_3|e32|4|P0-sw_0_4|e14|3|P2-sw_0_5|e15|4|P6-sw_0_9|e42|3|node0_0_9_3
VLAN_0_Flow_34,1000,1453,node0_0_0_1|P2-sw_0_0|e3|4|P1-sw_0_8|e20|3|P5-sw_0_7|e58|4|node0_0_7_3
VLAN_0_Flow_40,1500,1542,node0_0_6_0|P0-sw_0_6|e48|4|P0-sw_0_7|e20|3|P0-sw_0_8|e3|4|P1-sw_0_0|e2|3|P4-sw_0_5|e17|4|node0_0_5_1
VLAN_0_Flow_42,1000,1012,node0_0_11_0|P1-sw_0_11|e60|6|P0-sw_0_10|e38|5|P0-sw_0_9|e15|7|P0-sw_0_5|e2|6|P0-sw_0_0|e1|5|P4-sw_0_1|e11|7|node0_0_1_2
VLAN_0_Flow_46,750,1490,node0_0_7_2|P1-sw_0_7|e48|4|P3-sw_0_6|e51|3|node0_0_6_1
VLAN_0_Flow_47,1000,1340,node0_0_0_2|P1-sw_0_0|e2|4|P1-sw_0_5|e14|3|P3-sw_0_4|e34|4|node0_0_4_1
VLAN_0_Flow_51,1000,1319,node0_0_8_0|P0-sw_0_8|e3|4|P1-sw_0_0|e2|3|P6-sw_0_5|e19|4|node0_0_5_3
VLAN_0_Flow_55,250,786,node0_0_7_2|P3-sw_0_7|e56|7|node0_0_7_1
VLAN_0_Flow_56,500,1593,node0_0_4_0|P6-sw_0_4|e37|4|node0_0_4_4
VLAN_0_Flow_57,1500,1542,node0_0_11_0|P1-sw_0_11|e60|4|P0-sw_0_10|e38|3|P0-sw_0_9|e15|4|P1-sw_0_5|e14|3|P4-sw_0_4|e35|4|node0_0_4_2
VLAN_0_Flow_58,250,820,node0_0_5_2|P6-sw_0_5|e19|7|node0_0_5_3
VLAN_0_Flow_59,1500,1691,node0_0_2_1|P0-sw_0_2|e8|2|P4-sw_0_1|e11|1|node0_0_1_2
VLAN_0_Flow_60,1000,1623,node0_0_4_3|P0-sw_0_4|e14|4|P0-sw_0_5|e2|3|P3-sw_0_0|e4|4|node0_0_0_0
