FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,750,10000,node0_0_0_6|P0-sw_0_8|e1|3|P2-sw_0_1|e4|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_1,900,10000,node0_0_0_6|P0-sw_0_8|e1|3|P3-sw_0_1|e5|4|P1-sw_0_4|e9|3|P1-sw_0_2|e7|4|node0_0_0_3
VLAN_0_Flow_2,900,5000,node0_0_0_6|P0-sw_0_8|e1|3|P4-sw_0_1|e6|4|P1-sw_0_5|e12|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_4,500,2000,node0_0_0_6|P0-sw_0_8|e1|7|P2-sw_0_1|e4|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_7,900,5000,node0_0_0_6|P0-sw_0_8|e1|3|P4-sw_0_1|e6|4|P1-sw_0_5|e12|3|P3-sw_0_4|e11|4|node0_0_0_9
VLAN_0_Flow_8,750,2000,node0_0_0_6|P0-sw_0_8|e1|6|P2-sw_0_1|e4|5|P3-sw_0_2|e9|7|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_10,900,10000,node0_0_0_6|P0-sw_0_8|e1|3|P4-sw_0_1|e6|4|P1-sw_0_5|e12|3|P3-sw_0_4|e11|4|node0_0_0_9
VLAN_0_Flow_12,600,5000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_13,800,10000,node0_0_0_6|P0-sw_0_8|e1|2|P3-sw_0_1|e5|1|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_14,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_15,375,1000,node0_0_0_9|P1-sw_0_4|e9|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_16,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_17,250,1000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_18,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
VLAN_0_Flow_19,600,10000,node0_0_0_9|P2-sw_0_4|e10|1|node0_0_0_7
VLAN_0_Flow_20,1000,2000,node0_0_0_9|P0-sw_0_4|e5|6|P1-sw_0_1|e3|5|P1-sw_0_0|e8|6|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_22,375,2000,node0_0_0_9|P2-sw_0_4|e10|6|node0_0_0_7
VLAN_0_Flow_23,300,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_24,250,1000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_26,625,2000,node0_0_0_9|P1-sw_0_4|e9|6|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_28,875,2000,node0_0_0_9|P4-sw_0_4|e12|6|P0-sw_0_5|e6|7|P2-sw_0_1|e4|6|P1-sw_0_2|e7|5|node0_0_0_3
