FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,500,817,node0_0_24_1|P0-sw_0_24|e148|7|P1-sw_0_25|e155|6|P2-sw_0_26|e167|5|node0_0_26_0
VLAN_0_Flow_7,750,1311,node0_0_25_4|P1-sw_0_25|e155|4|P4-sw_0_26|e169|3|node0_0_26_2
VLAN_0_Flow_12,1000,1282,node0_0_4_1|P1-sw_0_4|e28|4|P2-sw_0_7|e41|3|P5-sw_0_12|e55|4|node0_0_12_2
VLAN_0_Flow_34,875,1095,node0_0_15_0|P2-sw_0_15|e87|7|P0-sw_0_20|e75|6|P1-sw_0_19|e74|5|P1-sw_0_17|e102|7|P2-sw_0_16|e104|6|P3-sw_0_27|e122|5|node0_0_27_0
VLAN_0_Flow_35,375,613,node0_0_0_1|P0-sw_0_0|e1|7|P4-sw_0_1|e11|6|node0_0_1_2
VLAN_0_Flow_40,750,1299,node0_0_16_0|P2-sw_0_16|e104|4|P3-sw_0_27|e122|3|node0_0_27_0
VLAN_0_Flow_44,500,1305,node0_0_2_2|P3-sw_0_2|e16|4|node0_0_2_1
VLAN_0_Flow_46,625,694,node0_0_20_3|P2-sw_0_20|e97|7|P1-sw_0_21|e132|6|P0-sw_0_22|e126|5|P4-sw_0_23|e129|7|node0_0_23_1
VLAN_0_Flow_49,500,741,node0_0_29_2|P0-sw_0_29|e138|7|P0-sw_0_28|e121|6|P4-sw_0_27|e123|5|node0_0_27_1
VLAN_0_Flow_61,750,1318,node0_0_12_3|P0-sw_0_12|e41|4|P4-sw_0_7|e43|3|node0_0_7_1
VLAN_0_Flow_68,750,911,node0_0_13_4|P1-sw_0_13|e80|7|P1-sw_0_14|e86|6|P2-sw_0_15|e87|5|P2-sw_0_20|e97|7|P2-sw_0_21|e143|6|node0_0_21_0
VLAN_0_Flow_70,1250,1277,node0_0_13_3|P0-sw_0_13|e21|4|P0-sw_0_11|e3|3|P0-sw_0_0|e1|4|P3-sw_0_1|e10|3|node0_0_1_1
VLAN_0_Flow_75,250,627,node0_0_3_4|P2-sw_0_3|e23|7|node0_0_3_0
VLAN_0_Flow_82,625,718,node0_0_24_3|P0-sw_0_24|e148|7|P1-sw_0_25|e155|6|P0-sw_0_26|e120|5|P6-sw_0_27|e125|7|node0_0_27_3
VLAN_0_Flow_89,750,1130,node0_0_1_0|P0-sw_0_1|e1|4|P3-sw_0_0|e4|3|node0_0_0_0
VLAN_0_Flow_92,1000,1219,node0_0_20_0|P2-sw_0_20|e97|4|P1-sw_0_21|e132|3|P6-sw_0_22|e137|4|node0_0_22_4
VLAN_0_Flow_121,1250,1285,node0_0_21_3|P0-sw_0_21|e97|4|P0-sw_0_20|e75|3|P1-sw_0_19|e74|4|P2-sw_0_17|e109|3|node0_0_17_0
VLAN_0_Flow_129,250,958,node0_0_17_2|P3-sw_0_17|e110|7|node0_0_17_1
VLAN_0_Flow_147,1000,1172,node0_0_20_0|P2-sw_0_20|e97|4|P1-sw_0_21|e132|3|P6-sw_0_22|e137|4|node0_0_22_4
VLAN_0_Flow_153,500,622,node0_0_13_3|P0-sw_0_13|e21|7|P1-sw_0_11|e20|6|P3-sw_0_9|e65|5|node0_0_9_1
VLAN_0_Flow_166,1250,1372,node0_0_22_0|P0-sw_0_22|e126|4|P0-sw_0_23|e114|3|P0-sw_0_18|e103|4|P5-sw_0_16|e107|3|node0_0_16_2
VLAN_0_Flow_168,1000,1284,node0_0_3_2|P1-sw_0_3|e22|4|P1-sw_0_5|e34|3|P5-sw_0_6|e49|4|node0_0_6_3
VLAN_0_Flow_183,375,733,node0_0_15_3|P2-sw_0_15|e87|7|P5-sw_0_20|e100|6|node0_0_20_2
VLAN_0_Flow_193,500,1261,node0_0_13_3|P2-sw_0_13|e81|4|node0_0_13_0
VLAN_0_Flow_197,750,1119,node0_0_16_0|P2-sw_0_16|e104|4|P5-sw_0_27|e124|3|node0_0_27_2
VLAN_0_Flow_228,250,1065,node0_0_7_3|P5-sw_0_7|e44|7|node0_0_7_2
VLAN_0_Flow_231,750,1168,node0_0_31_2|P0-sw_0_31|e149|4|P4-sw_0_24|e152|3|node0_0_24_2
VLAN_0_Flow_232,1000,1312,node0_0_15_3|P2-sw_0_15|e87|4|P2-sw_0_20|e97|3|P6-sw_0_21|e147|4|node0_0_21_4
VLAN_0_Flow_233,250,674,node0_0_22_1|P4-sw_0_22|e135|7|node0_0_22_2
VLAN_0_Flow_235,250,966,node0_0_28_0|P6-sw_0_28|e142|7|node0_0_28_3
VLAN_0_Flow_246,250,790,node0_0_1_4|P3-sw_0_1|e10|7|node0_0_1_1
VLAN_0_Flow_262,500,1099,node0_0_6_0|P1-sw_0_6|e40|7|P0-sw_0_7|e28|6|P2-sw_0_4|e29|5|node0_0_4_0
VLAN_0_Flow_270,500,1266,node0_0_14_4|P4-sw_0_14|e94|4|node0_0_14_2
VLAN_0_Flow_275,500,791,node0_0_6_4|P1-sw_0_6|e40|7|P0-sw_0_7|e28|6|P2-sw_0_4|e29|5|node0_0_4_0
VLAN_0_Flow_281,250,907,node0_0_17_2|P5-sw_0_17|e112|7|node0_0_17_3
VLAN_0_Flow_304,1000,1325,node0_0_10_3|P1-sw_0_10|e58|4|P0-sw_0_8|e57|3|P3-sw_0_9|e65|4|node0_0_9_1
VLAN_0_Flow_335,250,933,node0_0_13_4|P3-sw_0_13|e82|7|node0_0_13_1
VLAN_0_Flow_337,1250,1293,node0_0_7_3|P2-sw_0_7|e41|4|P2-sw_0_12|e52|3|P1-sw_0_15|e86|4|P4-sw_0_14|e94|3|node0_0_14_2
VLAN_0_Flow_343,750,1071,node0_0_21_3|P0-sw_0_21|e97|7|P1-sw_0_20|e87|6|P0-sw_0_15|e52|5|P0-sw_0_12|e41|7|P3-sw_0_7|e42|6|node0_0_7_0
VLAN_0_Flow_344,875,959,node0_0_22_1|P1-sw_0_22|e132|6|P0-sw_0_21|e97|5|P0-sw_0_20|e75|7|P1-sw_0_19|e74|6|P5-sw_0_17|e112|5|node0_0_17_3
VLAN_0_Flow_345,750,836,node0_0_22_0|P0-sw_0_22|e126|7|P2-sw_0_23|e127|6|P0-sw_0_28|e121|5|P1-sw_0_27|e120|7|P2-sw_0_26|e167|6|node0_0_26_0
VLAN_0_Flow_346,1000,1143,node0_0_10_0|P1-sw_0_10|e58|4|P0-sw_0_8|e57|3|P6-sw_0_9|e68|4|node0_0_9_4
VLAN_0_Flow_349,625,841,node0_0_26_3|P0-sw_0_26|e120|7|P0-sw_0_27|e104|6|P1-sw_0_16|e103|5|P6-sw_0_18|e119|7|node0_0_18_4
VLAN_0_Flow_355,500,865,node0_0_28_1|P0-sw_0_28|e121|7|P1-sw_0_27|e120|6|P2-sw_0_26|e167|5|node0_0_26_0
VLAN_0_Flow_358,1000,1448,node0_0_3_2|P5-sw_0_3|e26|2|node0_0_3_3
VLAN_0_Flow_366,250,979,node0_0_6_4|P5-sw_0_6|e49|7|node0_0_6_3
VLAN_0_Flow_379,250,877,node0_0_3_4|P2-sw_0_3|e23|7|node0_0_3_0
VLAN_0_Flow_385,1000,1349,node0_0_15_3|P0-sw_0_15|e52|4|P1-sw_0_12|e51|3|P3-sw_0_10|e70|4|node0_0_10_1
