FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_2,500,877,node0_0_1_0|P1-sw_0_1|e8|7|P1-sw_0_2|e20|6|P3-sw_0_3|e28|5|node0_0_3_1
VLAN_0_Flow_3,750,1199,node0_0_5_4|P0-sw_0_5|e32|4|P2-sw_0_4|e33|3|node0_0_4_0
VLAN_0_Flow_4,500,917,node0_0_0_4|P0-sw_0_0|e1|7|P1-sw_0_1|e8|6|P4-sw_0_2|e23|5|node0_0_2_2
VLAN_0_Flow_5,750,987,node0_0_2_1|P1-sw_0_2|e20|4|P2-sw_0_3|e27|3|node0_0_3_0
VLAN_0_Flow_6,625,893,node0_0_4_2|P0-sw_0_4|e26|7|P0-sw_0_3|e20|6|P0-sw_0_2|e8|5|P6-sw_0_1|e13|7|node0_0_1_4
VLAN_0_Flow_7,1000,1191,node0_0_2_0|P1-sw_0_2|e20|4|P1-sw_0_3|e26|3|P3-sw_0_4|e34|4|node0_0_4_1
VLAN_0_Flow_10,1000,1212,node0_0_2_4|P5-sw_0_2|e24|2|node0_0_2_3
VLAN_0_Flow_11,1000,1200,node0_0_2_4|P0-sw_0_2|e8|4|P0-sw_0_1|e1|3|P4-sw_0_0|e5|4|node0_0_0_2
VLAN_0_Flow_14,750,1157,node0_0_0_3|P1-sw_0_0|e2|4|P4-sw_0_7|e17|3|node0_0_7_2
VLAN_0_Flow_25,250,669,node0_0_1_1|P6-sw_0_1|e13|7|node0_0_1_4
VLAN_0_Flow_26,500,1138,node0_0_7_1|P5-sw_0_7|e18|4|node0_0_7_3
VLAN_0_Flow_30,625,839,node0_0_2_0|P0-sw_0_2|e8|7|P0-sw_0_1|e1|6|P1-sw_0_0|e2|5|P4-sw_0_7|e17|7|node0_0_7_2
VLAN_0_Flow_34,750,996,node0_0_1_1|P0-sw_0_1|e1|4|P2-sw_0_0|e3|3|node0_0_0_0
VLAN_0_Flow_35,1000,1165,node0_0_2_0|P1-sw_0_2|e20|3|P3-sw_0_3|e28|4|node0_0_3_1
VLAN_0_Flow_37,250,927,node0_0_2_1|P5-sw_0_2|e24|7|node0_0_2_3
