TC1 scheduled/num_streams 15/58 = 25.86%
k: 3 (0.0, '%', 'unscheduled', 9, 'total', 9, 'e2e too large', [23, 55, 48, 27, 9, 30, 57, 12, 49], 'bandwidth violation', [])
 cycle_time: 500us bandwidth: 31250.0bytes k: 2 (12.0, '%', 'unscheduled', 15, 'total', 17, 'e2e too large', [5, 6, 16, 13, 3, 51, 29, 35, 45, 20, 42, 44, 10, 14, 52], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 15625.0bytes k: 1 (41.0, '%', 'unscheduled', 19, 'total', 32, 'e2e too large', [39, 17, 0, 47, 40, 50, 56, 21, 1, 31, 2, 4, 33, 28, 36, 19, 15, 32, 37], 'bandwidth violation', [])
 cycle_time: 125us bandwidth: 6250.0bytes Stream: id 39 | k_group 1 | q_n 3 | node0_0_6_0->node0_0_2_1 | period 20.0| deadline 4.024 | size 281| injection delay:0['node0_0_6_0', 'sw_0_6', 'sw_0_7', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_1']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 17 | k_group 1 | q_n 3 | node0_0_9_0->node0_0_2_0 | period 8.0| deadline 4.08 | size 169| injection delay:0['node0_0_9_0', 'sw_0_9', 'sw_0_10', 'sw_0_11', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_0']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 0 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_7_0 | period 20.0| deadline 4.168 | size 228| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_5', 'sw_0_6', 'sw_0_7', 'node0_0_7_0']['q7', 'q6', 'q5', 'q7']
Stream: id 47 | k_group 1 | q_n 3 | node0_0_1_0->node0_0_4_0 | period 20.0| deadline 4.192 | size 211| injection delay:0['node0_0_1_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_0']['q7', 'q6', 'q5', 'q7']
Stream: id 18 | k_group 1 | q_n 3 | node0_0_6_1->node0_0_12_1 | period 40.0| deadline 4.448 | size 249| injection delay:0['node0_0_6_1', 'sw_0_6', 'sw_0_7', 'sw_0_12', 'node0_0_12_1']['q7', 'q6', 'q5']
Stream: id 40 | k_group 1 | q_n 3 | node0_0_15_1->node0_0_11_1 | period 20.0| deadline 4.464 | size 258| injection delay:0['node0_0_15_1', 'sw_0_15', 'sw_0_14', 'sw_0_13', 'sw_0_12', 'sw_0_11', 'node0_0_11_1']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 50 | k_group 1 | q_n 3 | node0_0_6_0->node0_0_3_0 | period 8.0| deadline 4.512 | size 137| injection delay:0['node0_0_6_0', 'sw_0_6', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_0']['q7', 'q6', 'q5', 'q7']
Stream: id 22 | k_group 1 | q_n 3 | node0_0_12_0->node0_0_11_1 | period 20.0| deadline 4.52 | size 178| injection delay:0['node0_0_12_0', 'sw_0_12', 'sw_0_11', 'node0_0_11_1']['q7', 'q6']
Stream: id 56 | k_group 1 | q_n 3 | node0_0_8_0->node0_0_0_0 | period 8.0| deadline 4.704 | size 252| injection delay:0['node0_0_8_0', 'sw_0_8', 'sw_0_9', 'sw_0_10', 'sw_0_11', 'sw_0_0', 'node0_0_0_0']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 21 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_14_0 | period 20.0| deadline 4.728 | size 168| injection delay:0['node0_0_3_1', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_7', 'sw_0_12', 'sw_0_13', 'sw_0_14', 'node0_0_14_0']['q7', 'q6', 'q5', 'q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 1 | k_group 1 | q_n 3 | node0_0_15_0->node0_0_11_1 | period 20.0| deadline 4.832 | size 134| injection delay:0['node0_0_15_0', 'sw_0_15', 'sw_0_14', 'sw_0_13', 'sw_0_12', 'sw_0_11', 'node0_0_11_1']['q7', 'q6', 'q5', 'q7', 'q6']
