TC2 scheduled/num_streams 150/260 = 57.69%
k: 3 (9.0, '%', 'unscheduled', 32, 'total', 35, 'e2e too large', [256, 26, 168, 94, 223, 159, 212, 113, 229, 251, 25, 63, 93, 57, 184, 85, 24, 233, 61, 71, 128, 37, 19, 90, 169, 171, 158, 3, 186, 220, 43, 161], 'bandwidth violation', [])
 cycle_time: 500us bandwidth: 31250.0bytes k: 2 (50.0, '%', 'unscheduled', 39, 'total', 78, 'e2e too large', [137, 166, 12, 76, 253, 66, 79, 38, 237, 248, 96, 205, 56, 78, 131, 102, 124, 44, 172, 82, 144, 244, 200, 183, 73, 202, 209, 59, 249, 70, 178, 32, 228, 210, 112, 133, 164, 17, 4], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 15625.0bytes k: 1 (73.0, '%', 'unscheduled', 39, 'total', 147, 'e2e too large', [53, 226, 104, 214, 55, 231, 83, 54, 109, 39, 89, 91, 246, 135, 35, 36, 142, 1, 243, 98, 242, 123, 100, 211, 111, 208, 33, 95, 65, 0, 254, 143, 182, 21, 23, 147, 141, 255, 252], 'bandwidth violation', [])
 cycle_time: 125us bandwidth: 6250.0bytes Stream: id 53 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_3_4 | period 20.0| deadline 4.184 | size 776| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_4']['q7', 'q6', 'q5', 'q7']
Stream: id 106 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_3_0 | period 40.0| deadline 4.28 | size 1253| injection delay:1['node0_0_3_1', 'sw_0_3', 'node0_0_3_0']['q6']
Stream: id 47 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_4_2 | period 8.0| deadline 4.328 | size 871| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q7', 'q6']
Stream: id 226 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_2_4 | period 40.0| deadline 4.328 | size 584| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_4']['q7', 'q6', 'q5', 'q7']
Stream: id 120 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_4_4 | period 40.0| deadline 4.336 | size 554| injection delay:0['node0_0_4_1', 'sw_0_4', 'node0_0_4_4']['q7']
Stream: id 241 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_0_1 | period 40.0| deadline 4.352 | size 232| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_1']['q7', 'q6']
Stream: id 104 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_4_0 | period 8.0| deadline 4.36 | size 1170| injection delay:3['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_0']['q6', 'q5', 'q6']
Stream: id 218 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_3_3 | period 40.0| deadline 4.368 | size 1182| injection delay:0['node0_0_3_1', 'sw_0_3', 'node0_0_3_3']['q7']
Stream: id 69 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_5_2 | period 40.0| deadline 4.392 | size 1454| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_5', 'node0_0_5_2']['q6', 'q5']
Stream: id 214 | k_group 1 | q_n 3 | node0_0_0_2->node0_0_3_3 | period 20.0| deadline 4.4 | size 1377| injection delay:9['node0_0_0_2', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_3']['q7', 'q6', 'q7', 'q5']
Stream: id 87 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_4_3 | period 20.0| deadline 4.416 | size 502| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q7', 'q6', 'q5']
