TC3 scheduled/num_streams 123/173 = 71.1%
k: 3 (25.0, '%', 'unscheduled', 18, 'total', 24, 'e2e too large', [44, 115, 140, 56, 122, 31, 12, 142, 157, 21, 34, 33, 165, 68, 163, 123, 147, 160], 'bandwidth violation', [])
 cycle_time: 500us bandwidth: 31250.0bytes k: 2 (73.0, '%', 'unscheduled', 14, 'total', 52, 'e2e too large', [170, 134, 132, 137, 158, 69, 136, 15, 101, 153, 19, 106, 84, 133], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 15625.0bytes k: 1 (81.0, '%', 'unscheduled', 18, 'total', 97, 'e2e too large', [150, 159, 18, 0, 27, 89, 40, 60, 30, 95], 'bandwidth violation', [29, 55, 85, 80, 104, 16, 88, 148])
 cycle_time: 125us bandwidth: 6250.0bytes Stream: id 80 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_0_2 | period 8.0| deadline 4.328 | size 1233| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'node0_0_0_2']['q7', 'q5']
Stream: id 103 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_4_2 | period 20.0| deadline 4.368 | size 1116| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q5']
Stream: id 154 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_0_0 | period 8.0| deadline 4.392 | size 861| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_0']['q7', 'q6', 'q5']
Stream: id 150 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_2_2 | period 40.0| deadline 4.4 | size 293| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5', 'q7']
Stream: id 159 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_2_0 | period 8.0| deadline 4.464 | size 719| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_0']['q6', 'q7', 'q6']
Stream: id 161 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_2 | period 40.0| deadline 4.464 | size 811| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'node0_0_1_2']['q7', 'q6']
Stream: id 18 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_2_2 | period 40.0| deadline 4.504 | size 545| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5', 'q6']
Stream: id 57 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_1_1 | period 40.0| deadline 4.512 | size 245| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q5']
Stream: id 28 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_1_0 | period 8.0| deadline 4.52 | size 1009| injection delay:1['node0_0_1_3', 'sw_0_1', 'node0_0_1_0']['q6']
Stream: id 0 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_1_1 | period 40.0| deadline 4.592 | size 257| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q5', 'q7']
Stream: id 121 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_0_2 | period 20.0| deadline 4.6 | size 591| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'node0_0_0_2']['q7', 'q6']
Stream: id 85 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_2 | period 20.0| deadline 4.632 | size 1248| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q5']
Stream: id 8 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_0_2 | period 20.0| deadline 4.648 | size 1322| injection delay:0['node0_0_1_3', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q7', 'q6']
Stream: id 102 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_4_1 | period 40.0| deadline 4.648 | size 222| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_1']['q7', 'q6', 'q5']
Stream: id 27 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_0_0 | period 8.0| deadline 4.72 | size 726| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q6', 'q5', 'q7']
Stream: id 82 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_4_2 | period 20.0| deadline 4.72 | size 1269| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q7', 'q6']
Stream: id 89 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_2 | period 40.0| deadline 4.744 | size 1419| injection delay:1['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q7']
Stream: id 116 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_4_1 | period 20.0| deadline 4.816 | size 1265| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_1']['q7', 'q6', 'q5']
Stream: id 40 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_1_2 | period 20.0| deadline 4.832 | size 1067| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 25 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_2_2 | period 20.0| deadline 4.872 | size 1450| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5']
Stream: id 60 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_1 | period 40.0| deadline 4.88 | size 1344| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q6', 'q5', 'q7']
Stream: id 119 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_2_0 | period 40.0| deadline 4.896 | size 561| injection delay:1['node0_0_2_3', 'sw_0_2', 'node0_0_2_0']['q7']
Stream: id 58 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_0_2 | period 8.0| deadline 4.976 | size 1104| injection delay:0['node0_0_0_3', 'sw_0_0', 'node0_0_0_2']['q7']
Stream: id 91 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_0_2 | period 20.0| deadline 4.976 | size 879| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'node0_0_0_2']['q7', 'q6']
Stream: id 5 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_0_2 | period 40.0| deadline 5.032 | size 289| injection delay:0['node0_0_0_3', 'sw_0_0', 'node0_0_0_2']['q7']
Stream: id 23 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_0_2 | period 40.0| deadline 5.104 | size 1071| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q7', 'q6', 'q5']
Stream: id 138 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_4_1 | period 40.0| deadline 5.112 | size 231| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q7', 'q6', 'q5']
Stream: id 55 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_0_0 | period 40.0| deadline 5.208 | size 1273| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q6']
Stream: id 63 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_0_2 | period 40.0| deadline 5.216 | size 434| injection delay:0['node0_0_0_1', 'sw_0_0', 'node0_0_0_2']['q6']
Stream: id 145 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_2_0 | period 20.0| deadline 5.248 | size 310| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_0']['q7', 'q6', 'q5', 'q7']
Stream: id 131 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_4_2 | period 8.0| deadline 5.256 | size 1452| injection delay:0['node0_0_1_3', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q5', 'q7']
Stream: id 100 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_2_0 | period 40.0| deadline 5.264 | size 483| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_0']['q7', 'q6', 'q5']
Stream: id 67 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_1_1 | period 40.0| deadline 5.272 | size 715| injection delay:1['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6']
Stream: id 148 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_1_0 | period 8.0| deadline 5.296 | size 1283| injection delay:1['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5']
Stream: id 48 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_0_0 | period 20.0| deadline 5.352 | size 1131| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q5', 'q7']
Stream: id 135 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_0 | period 20.0| deadline 5.368 | size 416| injection delay:1['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5']
Stream: id 171 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_4_1 | period 20.0| deadline 5.368 | size 1155| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q7', 'q6']
Stream: id 152 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_2_2 | period 20.0| deadline 5.408 | size 692| injection delay:0['node0_0_2_1', 'sw_0_2', 'node0_0_2_2']['q7']
Stream: id 71 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_4_2 | period 20.0| deadline 5.456 | size 1462| injection delay:0['node0_0_4_3', 'sw_0_4', 'node0_0_4_2']['q7']
Stream: id 93 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_2_2 | period 8.0| deadline 5.496 | size 251| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5']
Stream: id 65 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_4_1 | period 20.0| deadline 5.552 | size 554| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q7', 'q6']
Stream: id 47 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_1_1 | period 40.0| deadline 5.568 | size 1139| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q5']
Stream: id 113 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_2_0 | period 20.0| deadline 5.568 | size 965| injection delay:0['node0_0_2_1', 'sw_0_2', 'node0_0_2_0']['q6']
Stream: id 111 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_2_2 | period 40.0| deadline 5.68 | size 522| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5', 'q7']
Stream: id 107 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_1_2 | period 40.0| deadline 5.688 | size 942| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q5', 'q7']
Stream: id 94 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_1_1 | period 40.0| deadline 5.728 | size 1223| injection delay:1['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'node0_0_1_1']['q6', 'q5']
Stream: id 109 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_4_2 | period 8.0| deadline 5.736 | size 538| injection delay:0['node0_0_4_0', 'sw_0_4', 'node0_0_4_2']['q6']
Stream: id 139 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_2_0 | period 8.0| deadline 5.736 | size 1088| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_0']['q7', 'q6', 'q5']
Stream: id 66 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_4_1 | period 8.0| deadline 5.768 | size 654| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q7', 'q5']
Stream: id 126 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_2_2 | period 40.0| deadline 5.768 | size 449| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5', 'q7']
