FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_1,500,792,node0_0_3_1|P0-sw_0_3|e25|7|P0-sw_0_2|e8|6|P4-sw_0_1|e11|5|node0_0_1_2
VLAN_0_Flow_2,1250,1450,node0_0_4_2|P0-sw_0_4|e13|4|P0-sw_0_5|e2|3|P0-sw_0_0|e1|4|P2-sw_0_1|e9|3|node0_0_1_0
VLAN_0_Flow_5,375,1130,node0_0_2_2|P1-sw_0_2|e25|7|P4-sw_0_3|e42|6|node0_0_3_2
VLAN_0_Flow_6,500,884,node0_0_5_0|P1-sw_0_5|e13|7|P1-sw_0_4|e30|6|P4-sw_0_3|e42|5|node0_0_3_2
VLAN_0_Flow_9,375,703,node0_0_2_0|P0-sw_0_2|e8|7|P3-sw_0_1|e10|6|node0_0_1_1
VLAN_0_Flow_10,625,1131,node0_0_4_1|P0-sw_0_4|e13|7|P2-sw_0_5|e14|6|P2-sw_0_9|e35|5|P3-sw_0_10|e56|7|node0_0_10_1
VLAN_0_Flow_11,625,725,node0_0_8_0|P2-sw_0_8|e20|7|P2-sw_0_9|e35|6|P4-sw_0_10|e57|7|node0_0_10_2
VLAN_0_Flow_16,1250,1280,node0_0_7_0|P0-sw_0_7|e19|4|P2-sw_0_8|e20|3|P2-sw_0_9|e35|4|P3-sw_0_10|e56|3|node0_0_10_1
VLAN_0_Flow_18,625,653,node0_0_3_3|P0-sw_0_3|e25|7|P0-sw_0_2|e8|6|P0-sw_0_1|e1|5|P5-sw_0_0|e6|7|node0_0_0_2
VLAN_0_Flow_19,250,673,node0_0_3_3|P2-sw_0_3|e40|7|node0_0_3_0
VLAN_0_Flow_21,1000,1370,node0_0_4_3|P0-sw_0_4|e13|4|P2-sw_0_5|e14|3|P6-sw_0_9|e39|4|node0_0_9_3
VLAN_0_Flow_22,500,1254,node0_0_10_0|P3-sw_0_10|e56|4|node0_0_10_1
VLAN_0_Flow_23,250,803,node0_0_9_1|P6-sw_0_9|e39|7|node0_0_9_3
VLAN_0_Flow_24,750,1295,node0_0_10_0|P0-sw_0_10|e35|4|P3-sw_0_9|e36|3|node0_0_9_0
VLAN_0_Flow_26,1250,1385,node0_0_5_3|P0-sw_0_5|e2|4|P2-sw_0_0|e3|3|P1-sw_0_8|e19|4|P5-sw_0_7|e49|3|node0_0_7_3
VLAN_0_Flow_27,375,1035,node0_0_8_3|P1-sw_0_8|e19|7|P5-sw_0_7|e49|6|node0_0_7_3
VLAN_0_Flow_29,250,1149,node0_0_2_0|P5-sw_0_2|e29|7|node0_0_2_3
VLAN_0_Flow_34,1000,1271,node0_0_2_2|P0-sw_0_2|e8|4|P0-sw_0_1|e1|3|P6-sw_0_0|e7|4|node0_0_0_3
VLAN_0_Flow_36,625,811,node0_0_7_0|P0-sw_0_7|e19|7|P2-sw_0_8|e20|6|P0-sw_0_9|e14|5|P4-sw_0_5|e16|7|node0_0_5_1
VLAN_0_Flow_38,625,887,node0_0_3_3|P1-sw_0_3|e30|7|P0-sw_0_4|e13|6|P2-sw_0_5|e14|5|P6-sw_0_9|e39|7|node0_0_9_3
VLAN_0_Flow_41,875,1136,node0_0_2_1|P0-sw_0_2|e8|7|P0-sw_0_1|e1|6|P1-sw_0_0|e2|5|P2-sw_0_5|e14|7|P2-sw_0_9|e35|6|P4-sw_0_10|e57|5|node0_0_10_2
VLAN_0_Flow_44,500,683,node0_0_7_2|P1-sw_0_7|e44|7|P1-sw_0_6|e45|6|P3-sw_0_11|e52|5|node0_0_11_1
VLAN_0_Flow_45,375,1049,node0_0_2_1|P0-sw_0_2|e8|7|P3-sw_0_1|e10|6|node0_0_1_1
VLAN_0_Flow_48,1000,1452,node0_0_9_2|P2-sw_0_9|e35|4|P1-sw_0_10|e50|3|P3-sw_0_11|e52|4|node0_0_11_1
VLAN_0_Flow_49,625,922,node0_0_8_1|P2-sw_0_8|e20|7|P2-sw_0_9|e35|6|P1-sw_0_10|e50|5|P2-sw_0_11|e51|7|node0_0_11_0
VLAN_0_Flow_57,750,1214,node0_0_8_3|P0-sw_0_8|e3|4|P6-sw_0_0|e7|3|node0_0_0_3
VLAN_0_Flow_65,875,1066,node0_0_11_2|P1-sw_0_11|e50|7|P0-sw_0_10|e35|6|P0-sw_0_9|e14|5|P0-sw_0_5|e2|7|P0-sw_0_0|e1|6|P4-sw_0_1|e11|5|node0_0_1_2
VLAN_0_Flow_66,750,1178,node0_0_3_1|P1-sw_0_3|e30|7|P0-sw_0_4|e13|6|P2-sw_0_5|e14|5|P2-sw_0_9|e35|7|P3-sw_0_10|e56|6|node0_0_10_1
VLAN_0_Flow_69,1000,1203,node0_0_8_1|P2-sw_0_8|e20|4|P2-sw_0_9|e35|3|P3-sw_0_10|e56|4|node0_0_10_1
VLAN_0_Flow_73,1000,1277,node0_0_8_0|P2-sw_0_8|e20|4|P2-sw_0_9|e35|3|P4-sw_0_10|e57|4|node0_0_10_2
VLAN_0_Flow_74,1000,1343,node0_0_7_2|P1-sw_0_7|e44|4|P1-sw_0_6|e45|3|P3-sw_0_11|e52|4|node0_0_11_1
VLAN_0_Flow_75,1250,1438,node0_0_5_3|P0-sw_0_5|e2|4|P2-sw_0_0|e3|3|P1-sw_0_8|e19|4|P5-sw_0_7|e49|3|node0_0_7_3
VLAN_0_Flow_79,750,1320,node0_0_8_0|P1-sw_0_8|e19|4|P5-sw_0_7|e49|3|node0_0_7_3
VLAN_0_Flow_80,750,1284,node0_0_8_1|P2-sw_0_8|e20|4|P3-sw_0_9|e36|3|node0_0_9_0
VLAN_0_Flow_81,500,1069,node0_0_8_0|P1-sw_0_8|e19|6|P5-sw_0_7|e49|5|node0_0_7_3
VLAN_0_Flow_82,500,841,node0_0_7_1|P1-sw_0_7|e44|7|P1-sw_0_6|e45|6|P3-sw_0_11|e52|5|node0_0_11_1
VLAN_0_Flow_83,1250,1355,node0_0_4_0|P0-sw_0_4|e13|4|P0-sw_0_5|e2|3|P0-sw_0_0|e1|4|P2-sw_0_1|e9|3|node0_0_1_0
VLAN_0_Flow_85,500,915,node0_0_9_2|P2-sw_0_9|e35|7|P1-sw_0_10|e50|6|P3-sw_0_11|e52|5|node0_0_11_1
VLAN_0_Flow_87,1000,1292,node0_0_3_3|P0-sw_0_3|e25|4|P0-sw_0_2|e8|3|P3-sw_0_1|e10|4|node0_0_1_1
VLAN_0_Flow_88,750,1349,node0_0_9_2|P0-sw_0_9|e14|4|P4-sw_0_5|e16|3|node0_0_5_1
VLAN_0_Flow_89,250,880,node0_0_10_0|P3-sw_0_10|e56|7|node0_0_10_1
VLAN_0_Flow_91,500,1268,node0_0_7_2|P5-sw_0_7|e49|4|node0_0_7_3
VLAN_0_Flow_95,625,728,node0_0_7_0|P0-sw_0_7|e19|7|P0-sw_0_8|e3|6|P0-sw_0_0|e1|5|P5-sw_0_1|e12|7|node0_0_1_3
VLAN_0_Flow_97,750,1194,node0_0_2_1|P0-sw_0_2|e8|4|P2-sw_0_1|e9|3|node0_0_1_0
VLAN_0_Flow_99,375,910,node0_0_2_2|P1-sw_0_2|e25|7|P4-sw_0_3|e42|6|node0_0_3_2
VLAN_0_Flow_100,1000,1277,node0_0_11_3|P0-sw_0_11|e45|4|P0-sw_0_6|e44|3|P5-sw_0_7|e49|4|node0_0_7_3
VLAN_0_Flow_101,375,942,node0_0_10_3|P1-sw_0_10|e50|7|P2-sw_0_11|e51|6|node0_0_11_0
VLAN_0_Flow_102,500,1188,node0_0_10_3|P4-sw_0_10|e57|4|node0_0_10_2
VLAN_0_Flow_103,500,1299,node0_0_11_3|P2-sw_0_11|e51|4|node0_0_11_0
VLAN_0_Flow_104,750,1327,node0_0_5_0|P0-sw_0_5|e2|4|P4-sw_0_0|e5|3|node0_0_0_1
VLAN_0_Flow_108,750,1419,node0_0_8_1|P2-sw_0_8|e20|4|P6-sw_0_9|e39|3|node0_0_9_3
VLAN_0_Flow_109,1250,1385,node0_0_3_1|P0-sw_0_3|e25|4|P0-sw_0_2|e8|3|P0-sw_0_1|e1|4|P5-sw_0_0|e6|3|node0_0_0_2
VLAN_0_Flow_110,375,1046,node0_0_9_2|P0-sw_0_9|e14|7|P5-sw_0_5|e17|6|node0_0_5_2
VLAN_0_Flow_112,375,1152,node0_0_4_0|P0-sw_0_4|e13|7|P4-sw_0_5|e16|6|node0_0_5_1
VLAN_0_Flow_117,250,912,node0_0_3_1|P2-sw_0_3|e40|7|node0_0_3_0
