TC4 scheduled/num_streams 756/1844 = 41.0%
k: 3 (17.0, '%', 'unscheduled', 205, 'total', 247, 'e2e too large', [1173, 1784, 486, 1485, 1524, 1624, 135, 820, 501, 1833, 1719, 118, 308, 385, 833, 954, 676, 1337, 901, 1421, 13, 303, 1056, 1477, 414, 289, 765, 1207, 399, 733, 1716, 296, 810, 1602, 1623, 1231, 99, 821, 939, 1762, 365, 758, 855, 823, 1276, 1000, 1655, 268, 188, 333, 540, 1355, 1589, 622, 1806, 65, 165, 172, 1205, 725, 1134, 1587, 427, 458, 928, 1069, 75, 1460, 672, 1732, 1618, 196, 1087, 1308, 825, 1339, 15, 359, 880, 1721, 665, 1214, 1411, 267, 437, 1176, 17, 1041, 1652, 543, 655, 119, 255, 81, 919, 1130, 1428, 1186, 1385, 1677, 1412, 1464, 1476, 1538, 740, 1048, 1664, 1471, 121, 1368, 386, 41, 1151, 1250, 207, 1408, 1670, 1742, 1758, 51, 1636, 1388, 1736, 1010, 1575, 1267, 1637, 286, 519, 599, 247, 579, 1290, 249, 608, 656, 801, 1381, 210, 1489, 1828, 697, 1387, 838, 1078, 234, 466, 1830, 328, 459, 462, 1843, 685, 1513, 1384, 209, 1301, 1287, 1394, 1445, 246, 311, 1705, 934, 1487, 74, 1206, 1765, 701, 923, 938, 20, 1631, 1822, 1668, 24, 217, 1030, 1034, 335, 1225, 1465, 1808, 1832, 1787, 215, 238, 1402, 772, 863, 958, 867, 313, 902, 931, 1688, 1672, 279, 1182, 184, 1653, 1159, 1162, 1240, 925], 'bandwidth violation', [])
 cycle_time: 500us bandwidth: 31250.0bytes k: 2 (54.0, '%', 'unscheduled', 252, 'total', 553, 'e2e too large', [205, 348, 367, 391, 826, 1190, 1534, 834, 1188, 275, 283, 601, 682, 1375, 523, 434, 742, 1479, 988, 991, 1174, 1699, 241, 1104, 1322, 680, 969, 1710, 805, 1683, 281, 628, 259, 688, 1453, 1646, 1741, 1383, 1431, 663, 482, 651, 1127, 1136, 1187, 1246, 1769, 914, 1156, 1096, 1614, 1011, 422, 1035, 138, 1826, 377, 0, 77, 1132, 1273, 1486, 587, 1566, 968, 16, 1457, 66, 477, 265, 553, 673, 1658, 677, 1644, 791, 339, 1277, 1170, 1558, 245, 1824, 1228, 242, 1204, 1, 489, 942, 23, 181, 1050, 783, 565, 1324, 1531, 177, 739, 1490, 464, 366, 1177, 1648, 159, 607, 1804, 171, 1827, 310, 832, 1667, 361, 854, 213, 1527, 1656, 147, 470, 195, 1189, 1269, 56, 1554, 952, 1443, 1084, 1165, 1391, 494, 949, 959, 1451, 868, 1493, 1729, 531, 584, 28, 1834, 828, 831, 1773, 835, 873, 1137, 1650, 1775, 1321, 1748, 721, 841, 1171, 1294, 343, 364, 237, 951, 380, 1364, 1516, 404, 547, 702, 708, 884, 1125, 1654, 1305, 915, 1218, 155, 1469, 1612, 870, 784, 1484, 1243, 1320, 1776, 18, 463, 551, 974, 22, 170, 1665, 1823, 326, 1215, 1029, 630, 1639, 1764, 512, 570, 782, 982, 843, 55, 1378, 910, 1414, 1202, 1480, 1615, 278, 1616, 442, 1738, 460, 1573, 922, 290, 1678, 1555, 576, 67, 751, 768, 1362, 1514, 847, 357, 370, 1120, 429, 1840, 397, 980, 1585, 1109, 1306, 126], 'bandwidth violation', [897, 1311, 403, 418, 76, 1591, 1630, 1807, 562, 1061, 658, 1418, 420, 297, 1083, 1413, 1505, 647, 1298, 1812])
 cycle_time: 250us bandwidth: 15625.0bytes k: 1 (40.0, '%', 'unscheduled', 631, 'total', 1044, 'e2e too large', [1813, 31, 154, 945, 1255, 1782, 389, 746, 1434, 1234, 53, 363, 1819, 1203, 671, 802, 1081, 526, 538, 666, 1492, 661, 1740, 369, 117, 875, 887, 1220, 1296, 1743, 1097, 85, 920, 1279, 574, 681, 977, 467, 264, 766, 546, 792, 1461, 220, 1450, 567, 1143, 1730, 393, 1259, 558, 1515, 219, 978, 1415, 813, 1562, 1416, 1712, 762, 1342, 1168, 70, 1395, 1046, 44, 1283, 1498, 627, 785, 146, 373, 1191, 1545, 948, 1210, 1361, 1280, 1829, 620, 1511, 1792, 814, 698, 158, 1119, 1319, 424, 1620, 1153, 481, 1579, 1102, 879, 1019, 1160, 1175, 878, 596, 235, 767, 1363, 1528, 198, 759, 1012, 1123, 331, 690, 1570, 451, 1529, 382, 711, 167, 79, 1242, 590, 646, 1446, 641, 568, 856, 1221, 973, 156, 935, 741, 1406, 492, 1185, 1404], 'bandwidth violation', [552, 906, 1325, 615, 525, 1814, 728, 830, 822, 444, 1820, 995, 819, 269, 1172, 1634, 1005, 787, 940, 1794, 136, 796, 1649, 261, 1433, 694, 186, 1313, 965, 987, 381, 396, 224, 1389, 979, 518, 1768, 983, 379, 1094, 94, 967, 689, 1533, 1256, 1669, 1689, 1497, 731, 120, 811, 1617, 206, 1289, 1198, 1114, 1379, 670, 1841, 57, 1838, 1093, 667, 503, 571, 453, 1006, 98, 703, 1031, 1483, 410, 781, 1110, 642, 1780, 200, 398, 748, 495, 882, 613, 1032, 1014, 563, 175, 174, 1581, 1605, 1725, 684, 907, 770, 1507, 226, 1201, 693, 1425, 304, 232, 634, 846, 1703, 407, 1448, 1212, 1138, 517, 1224, 110, 1348, 1786, 1666, 572, 187, 1341, 108, 191, 1723, 890, 374, 1458, 131, 1053, 1333, 944, 734, 842, 272, 848, 1633, 27, 402, 222, 1481, 714, 941, 1152, 1724, 263, 1344, 1066, 738, 190, 1518, 448, 1167, 1462, 1463, 1641, 629, 1270, 445, 1312, 1547, 1103, 709, 1060, 21, 633, 1091, 705, 401, 1042, 1072, 1540, 1232, 1523, 1753, 1577, 1831, 1779, 994, 1572, 1370, 1478, 1640, 593, 859, 485, 996, 726, 1106, 358, 963, 1651, 638, 45, 1606, 1697, 1261, 1118, 387, 657, 430, 597, 1767, 737, 248, 299, 258, 1771, 561, 193, 678, 1244, 1315, 1197, 1755, 723, 1757, 1704, 763, 1766, 712, 885, 1592, 720, 1809, 727, 1770, 1429, 69, 413, 924, 106, 1596, 276, 1264, 1539, 233, 1713, 719, 1685, 309, 176, 754, 755, 291, 541, 909, 1588, 1676, 423, 904, 334, 49, 917, 1546, 1007, 696, 240, 1067, 932, 857, 352, 12, 1382, 216, 288, 129, 598, 450, 1230, 1557, 239, 1482, 539, 179, 1420, 273, 717, 1039, 1164, 33, 1559, 349, 112, 761, 1157, 636, 971, 652, 1625, 476, 1139, 1825, 747, 654, 218, 82, 1694, 840, 1638, 252, 1584, 560, 964, 1537, 447, 1200, 1247, 824, 1714, 1627, 683, 1057, 92, 143, 1020, 428, 946, 1821, 169, 1436, 1763, 648, 145, 1036, 168, 284, 1544, 1077, 713, 1350, 455, 1257, 1619, 83, 984, 556, 103, 189, 301, 1195, 1501, 250, 416, 1399, 827, 1783, 594, 1100, 1530, 97, 163, 1166, 336, 1561, 816, 1629, 1643, 1155, 804, 1440, 1504, 1033, 1371, 473, 1193, 350, 1163, 1586, 1268, 1354, 208, 1158, 1113, 506, 431, 383, 837, 1543, 43, 1281, 1028, 1309, 64, 1295, 1124, 214, 157, 1837, 439, 611, 1610, 1271, 375, 869, 1459, 1495, 1604, 8, 1556, 513, 807, 1049, 225, 908, 1179, 183, 479, 351, 542, 803, 1400, 1548, 699, 730, 1731, 1392, 960, 1785, 527, 606, 102, 1112, 1062, 9, 1307, 1695, 231, 1799, 1466, 1343, 1693, 452, 985, 990, 639, 1802, 100, 344, 1128, 724, 1288, 603, 317, 1222, 950, 300, 345, 1571, 1419, 750, 368, 892, 581, 1682, 1599, 1680, 1608, 839, 735, 566, 1739, 510, 1095, 1709, 1393, 1645, 162, 1467, 1800, 316, 1335, 864, 307, 1696, 1274, 1366, 1377, 1196, 812, 1328, 46, 1241, 612, 508, 32, 1326, 605, 1790, 63, 623, 1213, 514, 1700, 1065, 104, 354, 1088, 441, 419, 1148, 1517, 1444, 152, 1252])
 cycle_time: 125us bandwidth: 6250.0bytes Stream: id 474 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_0_0 | period 8.0| deadline 4.48 | size 1086| injection delay:1['node0_0_0_1', 'sw_0_0', 'node0_0_0_0']['q7']
Stream: id 1813 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_5_0 | period 40.0| deadline 4.488 | size 825| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_7', 'sw_0_6', 'sw_0_5', 'node0_0_5_0']['q6', 'q5', 'q7', 'q6']
Stream: id 31 | k_group 1 | q_n 3 | node0_0_3_3->node0_0_7_2 | period 8.0| deadline 4.496 | size 179| injection delay:0['node0_0_3_3', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_7', 'node0_0_7_2']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 735 | k_group 1 | q_n 3 | node0_0_4_4->node0_0_3_0 | period 20.0| deadline 4.496 | size 889| injection delay:0['node0_0_4_4', 'sw_0_4', 'sw_0_3', 'node0_0_3_0']['q6', 'q5']
Stream: id 1533 | k_group 1 | q_n 3 | node0_0_2_4->node0_0_0_0 | period 20.0| deadline 4.496 | size 605| injection delay:0['node0_0_2_4', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_0']['q7', 'q6', 'q5']
Stream: id 154 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_4_0 | period 8.0| deadline 4.504 | size 1030| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_0']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 410 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_7_4 | period 8.0| deadline 4.504 | size 718| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_7', 'node0_0_7_4']['q7', 'q6']
Stream: id 945 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_5_1 | period 20.0| deadline 4.504 | size 762| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_7', 'sw_0_6', 'sw_0_5', 'node0_0_5_1']['q7', 'q6', 'q5', 'q7']
Stream: id 110 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_2_2 | period 8.0| deadline 4.512 | size 1020| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5']
Stream: id 1370 | k_group 1 | q_n 3 | node0_0_1_2->node0_0_0_2 | period 8.0| deadline 4.512 | size 744| injection delay:0['node0_0_1_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q7', 'q6']
Stream: id 285 | k_group 1 | q_n 3 | node0_0_3_3->node0_0_3_4 | period 40.0| deadline 4.52 | size 581| injection delay:0['node0_0_3_3', 'sw_0_3', 'node0_0_3_4']['q7']
Stream: id 306 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_0_2 | period 20.0| deadline 4.52 | size 1189| injection delay:0['node0_0_0_3', 'sw_0_0', 'node0_0_0_2']['q7']
Stream: id 1255 | k_group 1 | q_n 3 | node0_0_1_0->node0_0_7_4 | period 20.0| deadline 4.52 | size 966| injection delay:0['node0_0_1_0', 'sw_0_1', 'sw_0_0', 'sw_0_7', 'node0_0_7_4']['q6', 'q5', 'q7']
Stream: id 1608 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_3_1 | period 8.0| deadline 4.52 | size 1009| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_3', 'node0_0_3_1']['q6', 'q5']
Stream: id 1782 | k_group 1 | q_n 3 | node0_0_7_1->node0_0_2_2 | period 40.0| deadline 4.52 | size 369| injection delay:0['node0_0_7_1', 'sw_0_7', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5', 'q7']
Stream: id 389 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_7_2 | period 20.0| deadline 4.528 | size 1102| injection delay:0['node0_0_2_0', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_7', 'node0_0_7_2']['q7', 'q6', 'q5', 'q7']
Stream: id 746 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_4_0 | period 8.0| deadline 4.528 | size 1189| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_0']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 1434 | k_group 1 | q_n 3 | node0_0_1_0->node0_0_4_0 | period 8.0| deadline 4.528 | size 616| injection delay:0['node0_0_1_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_0']['q6', 'q5', 'q7', 'q6']
Stream: id 376 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_0_0 | period 20.0| deadline 4.536 | size 640| injection delay:0['node0_0_0_3', 'sw_0_0', 'node0_0_0_0']['q6']
Stream: id 770 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_2_2 | period 20.0| deadline 4.536 | size 1175| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5']
Stream: id 1234 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_2_3 | period 20.0| deadline 4.552 | size 334| injection delay:1['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_3']['q6', 'q5', 'q7']
Stream: id 53 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_0_2 | period 40.0| deadline 4.56 | size 293| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q7', 'q6', 'q5', 'q6', 'q5', 'q7']
Stream: id 363 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_1_4 | period 40.0| deadline 4.56 | size 1211| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_6', 'sw_0_7', 'sw_0_0', 'sw_0_1', 'node0_0_1_4']['q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 657 | k_group 1 | q_n 3 | node0_0_1_0->node0_0_3_0 | period 8.0| deadline 4.56 | size 1051| injection delay:0['node0_0_1_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_0']['q7', 'q6', 'q5']
Stream: id 720 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_5_2 | period 40.0| deadline 4.56 | size 1143| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'node0_0_5_2']['q7', 'q6']
Stream: id 1212 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_2_2 | period 8.0| deadline 4.56 | size 1053| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5']
Stream: id 1819 | k_group 1 | q_n 3 | node0_0_4_2->node0_0_2_3 | period 40.0| deadline 4.56 | size 245| injection delay:1['node0_0_4_2', 'sw_0_4', 'sw_0_5', 'sw_0_6', 'sw_0_7', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_3']['q6', 'q7', 'q6', 'q7', 'q5', 'q6', 'q5']
Stream: id 514 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_1_4 | period 40.0| deadline 4.568 | size 768| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_1', 'node0_0_1_4']['q6', 'q5']
Stream: id 1055 | k_group 1 | q_n 3 | node0_0_3_2->node0_0_3_1 | period 40.0| deadline 4.568 | size 1019| injection delay:0['node0_0_3_2', 'sw_0_3', 'node0_0_3_1']['q7']
Stream: id 1203 | k_group 1 | q_n 3 | node0_0_7_1->node0_0_4_0 | period 8.0| deadline 4.568 | size 834| injection delay:0['node0_0_7_1', 'sw_0_7', 'sw_0_6', 'sw_0_5', 'sw_0_4', 'node0_0_4_0']['q7', 'q6', 'q5', 'q7']
Stream: id 218 | k_group 1 | q_n 3 | node0_0_4_4->node0_0_3_4 | period 20.0| deadline 4.576 | size 535| injection delay:0['node0_0_4_4', 'sw_0_4', 'sw_0_3', 'node0_0_3_4']['q7', 'q6']
