FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,500,800,node0_0_10_2|P0-sw_0_10|e33|7|P0-sw_0_9|e15|6|P6-sw_0_5|e19|5|node0_0_5_3
VLAN_0_Flow_1,625,649,node0_0_2_0|P0-sw_0_2|e8|7|P0-sw_0_1|e1|6|P2-sw_0_0|e3|5|P4-sw_0_8|e23|7|node0_0_8_1
VLAN_0_Flow_5,375,793,node0_0_9_1|P0-sw_0_9|e15|7|P5-sw_0_5|e18|6|node0_0_5_2
VLAN_0_Flow_9,1000,1437,node0_0_2_4|P3-sw_0_2|e28|2|node0_0_2_1
VLAN_0_Flow_10,1000,1361,node0_0_3_4|P0-sw_0_3|e26|4|P0-sw_0_2|e8|3|P2-sw_0_1|e9|4|node0_0_1_0
VLAN_0_Flow_12,750,1181,node0_0_11_3|P1-sw_0_11|e55|4|P6-sw_0_10|e65|3|node0_0_10_4
VLAN_0_Flow_15,750,1289,node0_0_1_3|P1-sw_0_1|e8|4|P3-sw_0_2|e28|3|node0_0_2_1
VLAN_0_Flow_23,500,879,node0_0_1_3|P1-sw_0_1|e8|7|P1-sw_0_2|e26|6|P2-sw_0_3|e38|5|node0_0_3_0
VLAN_0_Flow_24,500,1321,node0_0_1_1|P2-sw_0_1|e9|4|node0_0_1_0
VLAN_0_Flow_28,500,632,node0_0_10_2|P0-sw_0_10|e33|6|P5-sw_0_9|e36|5|node0_0_9_2
VLAN_0_Flow_29,625,641,node0_0_6_2|P0-sw_0_6|e43|6|P0-sw_0_7|e20|5|P3-sw_0_8|e22|7|node0_0_8_0
VLAN_0_Flow_32,375,914,node0_0_8_2|P0-sw_0_8|e3|7|P6-sw_0_0|e7|6|node0_0_0_3
VLAN_0_Flow_33,375,900,node0_0_9_3|P0-sw_0_9|e15|7|P6-sw_0_5|e19|6|node0_0_5_3
VLAN_0_Flow_37,875,902,node0_0_3_1|P1-sw_0_3|e32|7|P0-sw_0_4|e14|6|P2-sw_0_5|e15|5|P2-sw_0_9|e33|7|P1-sw_0_10|e55|6|P2-sw_0_11|e56|5|node0_0_11_0
VLAN_0_Flow_41,1000,1197,node0_0_7_3|P1-sw_0_7|e43|4|P1-sw_0_6|e44|3|P2-sw_0_11|e56|4|node0_0_11_0
VLAN_0_Flow_44,500,1084,node0_0_11_1|P1-sw_0_11|e55|6|P3-sw_0_10|e62|5|node0_0_10_1
VLAN_0_Flow_45,500,1074,node0_0_3_1|P0-sw_0_3|e26|7|P0-sw_0_2|e8|6|P2-sw_0_1|e9|5|node0_0_1_0
VLAN_0_Flow_46,750,848,node0_0_10_2|P0-sw_0_10|e33|7|P0-sw_0_9|e15|6|P0-sw_0_5|e2|5|P0-sw_0_0|e1|7|P2-sw_0_1|e9|6|node0_0_1_0
VLAN_0_Flow_47,375,858,node0_0_8_2|P1-sw_0_8|e20|7|P3-sw_0_7|e51|6|node0_0_7_1
VLAN_0_Flow_52,500,853,node0_0_3_2|P1-sw_0_3|e32|7|P0-sw_0_4|e14|6|P5-sw_0_5|e18|5|node0_0_5_2
VLAN_0_Flow_53,250,654,node0_0_3_4|P2-sw_0_3|e38|7|node0_0_3_0
VLAN_0_Flow_54,1000,1151,node0_0_8_2|P0-sw_0_8|e3|4|P1-sw_0_0|e2|3|P3-sw_0_5|e16|4|node0_0_5_0
VLAN_0_Flow_55,625,697,node0_0_0_1|P1-sw_0_0|e2|7|P2-sw_0_5|e15|6|P2-sw_0_9|e33|5|P2-sw_0_10|e61|7|node0_0_10_0
VLAN_0_Flow_59,1000,1264,node0_0_9_0|P2-sw_0_9|e33|4|P1-sw_0_10|e55|3|P2-sw_0_11|e56|4|node0_0_11_0
VLAN_0_Flow_61,500,835,node0_0_3_1|P0-sw_0_3|e26|7|P0-sw_0_2|e8|6|P4-sw_0_1|e11|5|node0_0_1_2
VLAN_0_Flow_64,1000,1211,node0_0_6_4|P0-sw_0_6|e43|4|P0-sw_0_7|e20|3|P4-sw_0_8|e23|4|node0_0_8_1
VLAN_0_Flow_70,625,953,node0_0_8_2|P0-sw_0_8|e3|7|P0-sw_0_0|e1|6|P1-sw_0_1|e8|5|P3-sw_0_2|e28|7|node0_0_2_1
VLAN_0_Flow_71,250,778,node0_0_11_3|P2-sw_0_11|e56|7|node0_0_11_0
VLAN_0_Flow_73,750,1295,node0_0_1_3|P1-sw_0_1|e8|4|P3-sw_0_2|e28|3|node0_0_2_1
VLAN_0_Flow_74,1000,1485,node0_0_6_3|P3-sw_0_6|e46|2|node0_0_6_1
VLAN_0_Flow_77,625,784,node0_0_6_2|P1-sw_0_6|e44|6|P1-sw_0_11|e55|5|P2-sw_0_10|e61|7|node0_0_10_0
VLAN_0_Flow_78,1000,1289,node0_0_7_3|P1-sw_0_7|e43|4|P1-sw_0_6|e44|3|P2-sw_0_11|e56|4|node0_0_11_0
VLAN_0_Flow_81,750,1140,node0_0_2_3|P0-sw_0_2|e8|4|P4-sw_0_1|e11|3|node0_0_1_2
VLAN_0_Flow_83,1000,1027,node0_0_2_0|P0-sw_0_2|e8|6|P0-sw_0_1|e1|5|P1-sw_0_0|e2|7|P2-sw_0_5|e15|6|P2-sw_0_9|e33|5|P2-sw_0_10|e61|7|node0_0_10_0
