FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_16,750,852,node0_0_5_3|P1-sw_0_5|e14|4|P6-sw_0_4|e33|3|node0_0_4_4
VLAN_0_Flow_19,375,506,node0_0_0_3|P0-sw_0_0|e1|7|P6-sw_0_1|e13|6|node0_0_1_4
VLAN_0_Flow_23,500,507,node0_0_4_3|P1-sw_0_4|e28|7|P0-sw_0_3|e22|6|P4-sw_0_2|e25|5|node0_0_2_2
VLAN_0_Flow_34,500,740,node0_0_5_0|P1-sw_0_5|e14|7|P1-sw_0_4|e28|6|P4-sw_0_3|e41|5|node0_0_3_2
VLAN_0_Flow_43,750,815,node0_0_4_0|P0-sw_0_4|e14|4|P5-sw_0_5|e18|3|node0_0_5_2
VLAN_0_Flow_55,750,933,node0_0_3_4|P1-sw_0_3|e28|4|P4-sw_0_4|e31|3|node0_0_4_2
VLAN_0_Flow_60,500,695,node0_0_5_3|P1-sw_0_5|e14|7|P1-sw_0_4|e28|6|P4-sw_0_3|e41|5|node0_0_3_2
VLAN_0_Flow_72,500,832,node0_0_10_4|P2-sw_0_10|e62|4|node0_0_10_0
VLAN_0_Flow_74,750,891,node0_0_5_3|P1-sw_0_5|e14|4|P3-sw_0_4|e30|3|node0_0_4_1
VLAN_0_Flow_76,625,720,node0_0_6_4|P1-sw_0_6|e45|6|P1-sw_0_11|e56|5|P5-sw_0_10|e65|7|node0_0_10_3
VLAN_0_Flow_77,250,523,node0_0_0_3|P3-sw_0_0|e4|7|node0_0_0_0
VLAN_0_Flow_78,500,909,node0_0_2_4|P2-sw_0_2|e23|4|node0_0_2_0
VLAN_0_Flow_79,625,782,node0_0_0_3|P2-sw_0_0|e3|6|P1-sw_0_8|e20|5|P5-sw_0_7|e54|7|node0_0_7_3
VLAN_0_Flow_94,625,640,node0_0_2_1|P0-sw_0_2|e8|6|P0-sw_0_1|e1|5|P4-sw_0_0|e5|7|node0_0_0_1
VLAN_0_Flow_99,500,910,node0_0_2_1|P4-sw_0_2|e25|4|node0_0_2_2
VLAN_0_Flow_110,500,552,node0_0_4_0|P0-sw_0_4|e14|7|P2-sw_0_5|e15|6|P4-sw_0_9|e36|5|node0_0_9_1
VLAN_0_Flow_111,750,792,node0_0_10_1|P1-sw_0_10|e56|4|P4-sw_0_11|e59|3|node0_0_11_2
