FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_2,875,1000,node0_0_0_6|P0-sw_0_8|e1|5|P3-sw_0_1|e5|6|P2-sw_0_4|e10|5|node0_0_0_7
VLAN_0_Flow_3,750,10000,node0_0_0_6|P0-sw_0_8|e1|3|P2-sw_0_1|e4|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_4,625,2000,node0_0_0_6|P0-sw_0_8|e1|6|P2-sw_0_1|e4|5|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_6,600,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P3-sw_0_4|e11|4|node0_0_0_9
VLAN_0_Flow_10,1000,2000,node0_0_0_6|P0-sw_0_8|e1|6|P1-sw_0_1|e3|5|P1-sw_0_0|e8|7|P3-sw_0_2|e9|5|P3-sw_0_4|e11|7|node0_0_0_9
VLAN_0_Flow_12,625,1000,node0_0_0_6|P0-sw_0_8|e1|7|P3-sw_0_1|e5|5|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_13,600,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_14,300,10000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_15,500,1000,node0_0_0_9|P1-sw_0_4|e9|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_16,450,10000,node0_0_0_9|P2-sw_0_4|e10|3|node0_0_0_7
VLAN_0_Flow_17,250,1000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_18,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
VLAN_0_Flow_19,600,10000,node0_0_0_9|P2-sw_0_4|e10|1|node0_0_0_7
VLAN_0_Flow_20,625,2000,node0_0_0_9|P0-sw_0_4|e5|7|P2-sw_0_1|e4|5|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_22,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_23,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_24,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_25,450,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_28,450,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_29,500,1000,node0_0_0_9|P1-sw_0_4|e9|6|P1-sw_0_2|e7|5|node0_0_0_3
