FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_2,1000,1000,node0_0_0_6|P0-sw_0_8|e1|5|P4-sw_0_1|e6|6|P1-sw_0_5|e12|5|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_3,900,5000,node0_0_0_6|P0-sw_0_8|e1|4|P4-sw_0_1|e6|3|P1-sw_0_5|e12|4|P1-sw_0_4|e9|3|P1-sw_0_2|e7|4|node0_0_0_3
VLAN_0_Flow_4,750,2000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P1-sw_0_4|e9|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_6,750,10000,node0_0_0_6|P0-sw_0_8|e1|4|P4-sw_0_1|e6|3|P1-sw_0_5|e12|4|P3-sw_0_4|e11|3|node0_0_0_9
VLAN_0_Flow_7,750,1000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_10,750,2000,node0_0_0_6|P0-sw_0_8|e1|5|P3-sw_0_1|e5|7|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_12,900,10000,node0_0_0_6|P0-sw_0_8|e1|3|P4-sw_0_1|e6|4|P1-sw_0_5|e12|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_14,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_16,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_17,600,10000,node0_0_0_9|P2-sw_0_4|e10|1|node0_0_0_7
VLAN_0_Flow_18,1050,5000,node0_0_0_9|P4-sw_0_4|e12|3|P0-sw_0_5|e6|4|P1-sw_0_1|e3|3|P1-sw_0_0|e8|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_20,625,2000,node0_0_0_9|P1-sw_0_4|e9|5|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_21,375,1000,node0_0_0_9|P2-sw_0_4|e10|6|node0_0_0_7
VLAN_0_Flow_22,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_24,375,2000,node0_0_0_9|P2-sw_0_4|e10|6|node0_0_0_7
VLAN_0_Flow_25,750,2000,node0_0_0_9|P4-sw_0_4|e12|4|P0-sw_0_5|e6|3|P2-sw_0_1|e4|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_26,450,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_28,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
