TC7 scheduled/num_streams 805/2031 = 39.64%
k: 3 (19.0, '%', 'unscheduled', 221, 'total', 272, 'e2e too large', [1378, 123, 1243, 874, 1808, 1134, 649, 777, 751, 218, 804, 1331, 1774, 711, 844, 161, 320, 584, 366, 915, 1080, 239, 582, 745, 1173, 1109, 1893, 1276, 1613, 1756, 1888, 1859, 671, 1611, 301, 472, 1183, 1938, 830, 862, 1006, 1789, 1890, 263, 367, 1658, 771, 1398, 1477, 1688, 230, 1206, 42, 1017, 997, 1822, 116, 1258, 872, 172, 361, 722, 753, 1090, 765, 1011, 1979, 2004, 307, 311, 1167, 7, 1304, 1978, 352, 988, 1353, 1915, 47, 1257, 1493, 67, 1576, 1917, 305, 40, 439, 1084, 1063, 1195, 1205, 1697, 811, 856, 1460, 2027, 694, 786, 892, 1474, 1210, 1644, 294, 417, 1482, 2014, 1343, 1131, 397, 942, 1215, 1462, 1522, 596, 1762, 1826, 498, 727, 1450, 539, 580, 1142, 1547, 1635, 1732, 730, 1341, 567, 1193, 215, 1187, 288, 1919, 0, 1812, 262, 1927, 512, 761, 1000, 1838, 863, 886, 1103, 1001, 1618, 327, 808, 1042, 644, 917, 31, 486, 1425, 1764, 1278, 133, 1289, 249, 1761, 702, 1603, 1161, 478, 758, 795, 246, 706, 298, 744, 806, 336, 255, 1555, 234, 1433, 889, 965, 1074, 1233, 1654, 1717, 1719, 1238, 1936, 776, 1818, 701, 1865, 1242, 345, 973, 1380, 1116, 1853, 1419, 304, 466, 1485, 1292, 2023, 870, 984, 1121, 1599, 1804, 434, 462, 70, 1158, 126, 180, 563, 92, 717, 823, 1464, 107, 648, 1711, 967], 'bandwidth violation', [])
 cycle_time: 500us bandwidth: 31250.0bytes k: 2 (52.0, '%', 'unscheduled', 295, 'total', 609, 'e2e too large', [1841, 190, 1694, 1578, 360, 435, 1365, 1918, 128, 1049, 1135, 1444, 1586, 199, 718, 1129, 1402, 1752, 2011, 1125, 1715, 1342, 1190, 2002, 39, 921, 1013, 363, 525, 69, 423, 703, 976, 1122, 78, 843, 1967, 1973, 1773, 1535, 1835, 135, 894, 364, 53, 440, 86, 657, 1441, 57, 1170, 1308, 1088, 1727, 1260, 1941, 1064, 1362, 1550, 640, 1114, 1925, 2000, 1328, 1994, 693, 1035, 1067, 1069, 656, 1647, 688, 1749, 1012, 697, 791, 865, 1395, 768, 225, 682, 1685, 526, 1478, 1557, 384, 410, 1321, 1327, 1733, 1626, 487, 850, 158, 589, 983, 1245, 145, 500, 1593, 1849, 98, 1633, 1704, 1228, 1536, 891, 1605, 395, 1810, 1382, 790, 1133, 1528, 309, 939, 1903, 628, 893, 1002, 16, 1845, 1203, 1346, 4, 80, 632, 1459, 1861, 494, 280, 898, 1440, 425, 1541, 1616, 2005, 337, 385, 1352, 1563, 273, 1479, 1813, 1220, 1322, 1825, 674, 1007, 735, 1004, 868, 715, 699, 324, 1297, 1319, 1867, 177, 483, 897, 130, 1494, 1406, 1411, 297, 1869, 443, 226, 245, 528, 592, 923, 72, 63, 51, 300, 1631, 74, 527, 390, 322, 1381, 437, 684, 1716, 285, 1241, 857, 1383, 1463, 978, 2008, 852, 911, 1787, 1948, 83, 140, 529, 1832, 1765, 1721, 1446, 111, 708, 793, 566, 1597, 212, 1668, 1980, 743, 1139, 1964, 583, 1435, 1653, 214, 1663, 577, 1648, 1447, 2022, 1713, 568, 1472, 321, 292, 189, 12, 94, 926, 1050, 629, 1880, 1442, 15, 1267, 721, 767, 884, 1492, 1659, 236, 636, 1724, 1236, 1527, 1643, 8, 1844, 1899, 473, 1666, 1934, 1014, 520, 409, 1016, 1060, 1913, 1263, 1794, 1186, 338, 726, 405, 1312, 32, 1207, 524, 797, 1172, 1988, 1056, 1491, 1248, 1434, 1834, 1229, 1457, 2, 1213, 1975, 1512, 1283, 1699, 62, 946, 35, 142, 411], 'bandwidth violation', [412, 1684])
 cycle_time: 250us bandwidth: 15625.0bytes k: 1 (38.0, '%', 'unscheduled', 710, 'total', 1150, 'e2e too large', [1301, 1885, 1622, 1862, 1883, 561, 586, 1501, 166, 754, 1872, 1843, 1898, 118, 929, 935, 1986, 221, 833, 798, 905, 881, 237, 918, 1046, 1538, 427, 1651, 1036, 507, 959, 1249, 198, 972, 957, 1970, 1256, 725, 2003, 963, 658, 1401, 1061, 554, 1335, 328, 2017, 1379, 1106, 114, 573, 235, 1739, 1488, 351, 1399, 368, 1290, 415, 839, 928, 1664, 817, 2021, 1359, 1107, 1912, 387, 587, 56, 1355, 1534, 156, 1514, 1202, 1022, 1775, 958, 677, 888, 696, 1224, 58, 1619, 1634, 1300, 796, 1763, 1159, 1358, 1165, 1449, 655, 1077, 1670, 828, 949, 1432, 243, 408, 1523, 1598, 1024, 820, 746, 1091, 1997, 1357, 1222, 814, 1553, 2009, 645, 971, 1391, 992, 106, 445, 1225, 907, 169, 1569, 76, 1096, 310, 175, 1437, 574, 1706, 1585, 861, 492, 1481, 1277, 1200, 1038, 160, 1136], 'bandwidth violation', [802, 165, 906, 1983, 1807, 1284, 267, 1564, 1686, 313, 329, 231, 1689, 837, 1112, 174, 1373, 1985, 1537, 1163, 68, 504, 432, 155, 780, 1232, 1439, 1952, 1961, 456, 1667, 556, 453, 1349, 1600, 945, 1157, 447, 1468, 386, 530, 1709, 847, 1367, 1790, 1671, 1458, 154, 1185, 1144, 661, 1153, 1423, 1645, 634, 25, 713, 1015, 873, 1990, 2020, 653, 1691, 896, 1995, 1034, 1021, 424, 685, 1884, 1842, 71, 549, 1181, 544, 479, 399, 1675, 60, 1590, 840, 920, 1334, 875, 953, 1280, 1246, 1929, 523, 1792, 859, 1777, 1947, 256, 393, 1234, 1908, 241, 1566, 244, 488, 825, 373, 822, 625, 1617, 1960, 1565, 1315, 1638, 491, 760, 1955, 340, 314, 1196, 1754, 919, 1363, 428, 1572, 1649, 1866, 157, 948, 848, 1558, 622, 1305, 846, 1298, 1779, 1738, 1448, 1054, 635, 139, 1120, 1307, 1892, 1128, 756, 451, 295, 224, 449, 829, 650, 1518, 1310, 493, 1946, 1870, 1164, 362, 1939, 1197, 1811, 1130, 562, 1279, 1384, 143, 832, 851, 1329, 1053, 1930, 1405, 1372, 383, 1333, 1179, 50, 1111, 251, 1072, 908, 678, 358, 1057, 335, 1907, 1745, 317, 1515, 1940, 521, 1660, 137, 651, 998, 374, 1755, 350, 1092, 961, 1030, 1264, 1138, 416, 1118, 247, 1801, 1942, 1169, 284, 1360, 1718, 987, 264, 538, 1652, 764, 1662, 419, 1184, 1602, 1735, 1539, 1577, 1678, 517, 2013, 3, 1176, 1696, 1496, 1410, 404, 253, 1741, 1075, 742, 607, 1905, 2028, 275, 812, 1497, 991, 163, 1100, 1629, 30, 147, 1336, 1910, 999, 380, 334, 781, 975, 153, 46, 1621, 980, 1692, 860, 876, 1848, 676, 783, 1546, 210, 1293, 1552, 683, 302, 1640, 1877, 149, 61, 1455, 1776, 1891, 254, 654, 490, 1141, 1208, 242, 1471, 1904, 481, 877, 1559, 431, 541, 1592, 1102, 1345, 1043, 1502, 341, 1799, 941, 1860, 1821, 426, 937, 902, 1584, 519, 1693, 854, 749, 131, 1824, 591, 511, 1271, 458, 732, 470, 827, 1294, 597, 1098, 558, 59, 1110, 325, 831, 1509, 1610, 1188, 1018, 1467, 2015, 281, 289, 1868, 1039, 1517, 834, 610, 1530, 1781, 1637, 1707, 452, 1199, 1887, 880, 291, 1863, 849, 810, 441, 673, 513, 585, 148, 557, 77, 788, 569, 1712, 1785, 463, 1815, 1795, 377, 1529, 1806, 413, 1037, 534, 990, 1166, 1291, 1582, 1580, 1624, 1607, 113, 54, 1152, 505, 52, 794, 1451, 171, 1730, 1726, 1189, 1396, 612, 219, 1511, 1504, 1819, 202, 274, 457, 1029, 1856, 181, 1701, 2029, 119, 1933, 952, 353, 20, 134, 623, 1404, 954, 1943, 271, 129, 1521, 1124, 396, 1959, 1966, 332, 807, 444, 1227, 994, 279, 1209, 406, 1962, 1830, 599, 1996, 738, 349, 1392, 1871, 421, 787, 1570, 1575, 1846, 354, 755, 1427, 1544, 1581, 1568, 1194, 37, 477, 1636, 1800, 216, 339, 995, 1728, 1669, 105, 947, 1797, 1796, 1438, 468, 259, 378, 1047, 371, 2026, 912, 914, 962, 1710, 1288, 1729, 1798, 1127, 1454, 348, 1695, 1417, 1436, 1571, 789, 1078, 1285, 1320, 564, 1839, 1533, 381, 369, 469, 1244, 167, 64, 968, 570, 1323, 510, 1351, 1705, 1926, 93, 357, 731, 659, 1350, 178, 1847, 1045, 376, 617, 1418, 1623, 121, 1531, 1809, 916, 270, 211, 1366, 1156, 204, 1911, 552, 1296, 14, 977, 96, 1500, 1993, 365, 1003, 1461, 84, 1944, 543, 964, 664, 1070, 407, 227, 33, 1700, 1881, 1771, 680, 124, 1344, 1155, 1753, 1295, 1532, 1255, 1708, 222, 960, 1909, 1415, 1625, 1416, 1594, 666, 647, 1085, 331, 546, 1542, 1833, 609, 1606, 43, 1086, 1010])
 cycle_time: 125us bandwidth: 6250.0bytes Stream: id 842 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_3_2 | period 40.0| deadline 4.96 | size 516| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_2']['q6', 'q5']
Stream: id 1790 | k_group 1 | q_n 3 | node0_0_4_2->node0_0_9_0 | period 40.0| deadline 4.96 | size 824| injection delay:0['node0_0_4_2', 'sw_0_4', 'sw_0_5', 'sw_0_9', 'node0_0_9_0']['q7', 'q6', 'q5']
Stream: id 1301 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_7_3 | period 8.0| deadline 4.968 | size 843| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'node0_0_7_3']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 1885 | k_group 1 | q_n 3 | node0_0_10_0->node0_0_1_2 | period 8.0| deadline 4.968 | size 204| injection delay:0['node0_0_10_0', 'sw_0_10', 'sw_0_9', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 1622 | k_group 1 | q_n 3 | node0_0_7_0->node0_0_3_0 | period 20.0| deadline 4.976 | size 859| injection delay:0['node0_0_7_0', 'sw_0_7', 'sw_0_8', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_0']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 1862 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_11_0 | period 20.0| deadline 4.976 | size 395| injection delay:0['node0_0_2_0', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'sw_0_11', 'node0_0_11_0']['q7', 'q6', 'q5', 'q7', 'q6', 'q5', 'q7']
Stream: id 1883 | k_group 1 | q_n 3 | node0_0_10_0->node0_0_3_0 | period 20.0| deadline 4.976 | size 951| injection delay:0['node0_0_10_0', 'sw_0_10', 'sw_0_9', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_0']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 402 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_0_0 | period 8.0| deadline 4.984 | size 166| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q6', 'q5']
Stream: id 561 | k_group 1 | q_n 3 | node0_0_11_3->node0_0_1_0 | period 8.0| deadline 4.984 | size 798| injection delay:0['node0_0_11_3', 'sw_0_11', 'sw_0_10', 'sw_0_9', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 586 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_3_0 | period 8.0| deadline 4.984 | size 844| injection delay:6['node0_0_4_3', 'sw_0_4', 'sw_0_3', 'node0_0_3_0']['q7', 'q5']
Stream: id 1501 | k_group 1 | q_n 3 | node0_0_11_3->node0_0_5_2 | period 20.0| deadline 4.984 | size 446| injection delay:0['node0_0_11_3', 'sw_0_11', 'sw_0_10', 'sw_0_9', 'sw_0_5', 'node0_0_5_2']['q7', 'q6', 'q5', 'q7']
Stream: id 166 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_11_1 | period 20.0| deadline 4.992 | size 1084| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'sw_0_11', 'node0_0_11_1']['q6', 'q5', 'q7', 'q6']
Stream: id 491 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_1_1 | period 40.0| deadline 4.992 | size 822| injection delay:0['node0_0_3_1', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q5']
Stream: id 754 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_7_3 | period 20.0| deadline 4.992 | size 153| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'node0_0_7_3']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 913 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_3_0 | period 8.0| deadline 4.992 | size 645| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_0']['q7', 'q6']
Stream: id 1128 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_1_0 | period 40.0| deadline 4.992 | size 843| injection delay:0['node0_0_2_0', 'sw_0_2', 'sw_0_1', 'node0_0_1_0']['q7', 'q6']
Stream: id 1537 | k_group 1 | q_n 3 | node0_0_4_2->node0_0_0_0 | period 8.0| deadline 4.992 | size 1077| injection delay:0['node0_0_4_2', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q6', 'q5']
Stream: id 1872 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_1_0 | period 20.0| deadline 4.992 | size 690| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5', 'q7']
Stream: id 319 | k_group 1 | q_n 3 | node0_0_7_1->node0_0_11_1 | period 40.0| deadline 5.0 | size 136| injection delay:0['node0_0_7_1', 'sw_0_7', 'sw_0_6', 'sw_0_11', 'node0_0_11_1']['q6', 'q5', 'q7']
Stream: id 531 | k_group 1 | q_n 3 | node0_0_7_0->node0_0_10_1 | period 40.0| deadline 5.0 | size 313| injection delay:0['node0_0_7_0', 'sw_0_7', 'sw_0_8', 'sw_0_9', 'sw_0_10', 'node0_0_10_1']['q7', 'q6', 'q5', 'q7']
Stream: id 1100 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_7_3 | period 40.0| deadline 5.0 | size 1191| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'sw_0_8', 'sw_0_7', 'node0_0_7_3']['q7', 'q6', 'q5', 'q7']
Stream: id 1843 | k_group 1 | q_n 3 | node0_0_8_0->node0_0_3_0 | period 40.0| deadline 5.0 | size 216| injection delay:0['node0_0_8_0', 'sw_0_8', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_0']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 1898 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_11_0 | period 8.0| deadline 5.0 | size 652| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'sw_0_11', 'node0_0_11_0']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 1217 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_10_2 | period 8.0| deadline 5.008 | size 257| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'node0_0_10_2']['q7', 'q6', 'q5', 'q7']
Stream: id 1280 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_0_3 | period 8.0| deadline 5.008 | size 462| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_3']['q7', 'q6', 'q5']
Stream: id 683 | k_group 1 | q_n 3 | node0_0_9_1->node0_0_1_0 | period 20.0| deadline 5.016 | size 1038| injection delay:0['node0_0_9_1', 'sw_0_9', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5', 'q7']
Stream: id 1873 | k_group 1 | q_n 3 | node0_0_10_0->node0_0_10_2 | period 20.0| deadline 5.016 | size 465| injection delay:0['node0_0_10_0', 'sw_0_10', 'node0_0_10_2']['q7']
Stream: id 118 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_11_1 | period 40.0| deadline 5.024 | size 194| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_5', 'sw_0_9', 'sw_0_10', 'sw_0_11', 'node0_0_11_1']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 929 | k_group 1 | q_n 3 | node0_0_8_2->node0_0_0_1 | period 40.0| deadline 5.024 | size 618| injection delay:10['node0_0_8_2', 'sw_0_8', 'sw_0_7', 'sw_0_6', 'sw_0_11', 'sw_0_10', 'sw_0_9', 'sw_0_5', 'sw_0_0', 'node0_0_0_1']['q6', 'q5', 'q6', 'q7', 'q5', 'q6', 'q7', 'q6']
Stream: id 449 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_0_3 | period 40.0| deadline 5.032 | size 757| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_3']['q7', 'q6', 'q5']
Stream: id 1579 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_9_0 | period 20.0| deadline 5.032 | size 237| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_9', 'node0_0_9_0']['q7', 'q6', 'q5']
Stream: id 1836 | k_group 1 | q_n 3 | node0_0_3_3->node0_0_1_1 | period 20.0| deadline 5.032 | size 326| injection delay:0['node0_0_3_3', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'node0_0_1_1']['q6', 'q5', 'q7']
Stream: id 521 | k_group 1 | q_n 3 | node0_0_7_1->node0_0_0_0 | period 40.0| deadline 5.04 | size 908| injection delay:0['node0_0_7_1', 'sw_0_7', 'sw_0_8', 'sw_0_0', 'node0_0_0_0']['q7', 'q6', 'q5']
