FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_7,375,666,node0_0_4_1|P1-sw_0_4|e29|7|P2-sw_0_5|e32|6|node0_0_5_0
VLAN_0_Flow_8,250,711,node0_0_7_1|P3-sw_0_7|e11|7|node0_0_7_0
VLAN_0_Flow_11,500,686,node0_0_9_0|P1-sw_0_9|e38|7|P0-sw_0_10|e13|6|P4-sw_0_11|e16|5|node0_0_11_1
VLAN_0_Flow_18,500,556,node0_0_6_1|P0-sw_0_6|e9|7|P2-sw_0_7|e10|6|P4-sw_0_12|e25|5|node0_0_12_1
VLAN_0_Flow_22,375,565,node0_0_12_0|P1-sw_0_12|e14|7|P4-sw_0_11|e16|6|node0_0_11_1
VLAN_0_Flow_24,625,672,node0_0_7_1|P0-sw_0_7|e2|7|P0-sw_0_0|e1|6|P1-sw_0_1|e6|5|P3-sw_0_2|e19|7|node0_0_2_1
VLAN_0_Flow_25,500,643,node0_0_6_1|P1-sw_0_6|e20|7|P1-sw_0_5|e29|6|P2-sw_0_4|e30|5|node0_0_4_0
VLAN_0_Flow_26,375,638,node0_0_7_1|P0-sw_0_7|e2|7|P3-sw_0_0|e4|6|node0_0_0_0
VLAN_0_Flow_34,375,717,node0_0_1_0|P0-sw_0_1|e1|7|P3-sw_0_0|e4|6|node0_0_0_0
VLAN_0_Flow_38,750,750,node0_0_5_1|P1-sw_0_5|e29|4|P2-sw_0_4|e30|3|node0_0_4_0
VLAN_0_Flow_41,625,725,node0_0_5_1|P0-sw_0_5|e20|7|P0-sw_0_6|e9|6|P2-sw_0_7|e10|5|P4-sw_0_12|e25|7|node0_0_12_1
VLAN_0_Flow_43,375,663,node0_0_7_1|P2-sw_0_7|e10|7|P4-sw_0_12|e25|6|node0_0_12_1
VLAN_0_Flow_46,375,712,node0_0_15_0|P0-sw_0_15|e35|7|P3-sw_0_8|e37|6|node0_0_8_1
VLAN_0_Flow_53,750,835,node0_0_5_1|P1-sw_0_5|e29|4|P2-sw_0_4|e30|3|node0_0_4_0
VLAN_0_Flow_54,625,693,node0_0_13_0|P1-sw_0_13|e44|7|P0-sw_0_14|e41|6|P0-sw_0_15|e35|5|P3-sw_0_8|e37|7|node0_0_8_1
