FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_2,100,786,node0_0_0_4|P3-sw_0_0|e4|5|node0_0_0_1
VLAN_0_Flow_3,400,1088,node0_0_2_3|P1-sw_0_2|e15|2|P1-sw_0_3|e21|1|P5-sw_0_4|e30|2|node0_0_4_3
VLAN_0_Flow_4,250,1015,node0_0_0_4|P0-sw_0_0|e1|4|P1-sw_0_1|e8|3|P1-sw_0_2|e15|4|P5-sw_0_3|e25|3|node0_0_3_3
VLAN_0_Flow_5,150,926,node0_0_0_4|P3-sw_0_0|e4|3|node0_0_0_1
VLAN_0_Flow_6,200,1043,node0_0_3_1|P6-sw_0_3|e26|2|node0_0_3_4
VLAN_0_Flow_8,125,707,node0_0_2_3|P6-sw_0_2|e20|7|node0_0_2_4
VLAN_0_Flow_9,100,913,node0_0_5_4|P5-sw_0_5|e13|4|node0_0_5_3
VLAN_0_Flow_10,100,1008,node0_0_2_0|P6-sw_0_2|e20|4|node0_0_2_4
VLAN_0_Flow_12,200,869,node0_0_4_1|P1-sw_0_4|e21|4|P0-sw_0_3|e15|3|P6-sw_0_2|e20|4|node0_0_2_4
VLAN_0_Flow_13,425,654,node0_0_5_0|P0-sw_0_5|e2|6|P0-sw_0_0|e1|5|P1-sw_0_1|e8|7|P1-sw_0_2|e15|6|P1-sw_0_3|e21|5|P2-sw_0_4|e27|7|node0_0_4_0
VLAN_0_Flow_14,200,792,node0_0_3_1|P5-sw_0_3|e25|7|node0_0_3_3
VLAN_0_Flow_16,175,848,node0_0_4_1|P1-sw_0_4|e21|6|P6-sw_0_3|e26|5|node0_0_3_4
VLAN_0_Flow_17,250,1011,node0_0_0_2|P1-sw_0_0|e2|4|P1-sw_0_5|e9|3|P1-sw_0_4|e21|4|P6-sw_0_3|e26|3|node0_0_3_4
VLAN_0_Flow_18,150,584,node0_0_5_1|P5-sw_0_5|e13|6|node0_0_5_3
VLAN_0_Flow_19,400,1075,node0_0_0_3|P1-sw_0_0|e2|2|P1-sw_0_5|e9|1|P4-sw_0_4|e29|2|node0_0_4_2
VLAN_0_Flow_23,425,795,node0_0_2_2|P1-sw_0_2|e15|7|P1-sw_0_3|e21|6|P5-sw_0_4|e30|7|node0_0_4_3
VLAN_0_Flow_24,400,1060,node0_0_5_0|P1-sw_0_5|e9|2|P1-sw_0_4|e21|1|P5-sw_0_3|e25|2|node0_0_3_3
VLAN_0_Flow_25,300,1042,node0_0_5_1|P1-sw_0_5|e9|2|P4-sw_0_4|e29|1|node0_0_4_2
VLAN_0_Flow_26,300,1018,node0_0_5_4|P0-sw_0_5|e2|2|P2-sw_0_0|e3|1|node0_0_0_0
VLAN_0_Flow_27,400,807,node0_0_0_4|P1-sw_0_0|e2|7|P1-sw_0_5|e9|6|P5-sw_0_4|e30|5|node0_0_4_3
VLAN_0_Flow_28,350,1002,node0_0_0_4|P1-sw_0_0|e2|3|P1-sw_0_5|e9|4|P2-sw_0_4|e27|3|node0_0_4_0
VLAN_0_Flow_29,50,777,node0_0_5_4|P5-sw_0_5|e13|7|node0_0_5_3
VLAN_0_Flow_30,400,960,node0_0_2_3|P1-sw_0_2|e15|3|P6-sw_0_3|e26|4|node0_0_3_4
VLAN_0_Flow_31,200,851,node0_0_0_3|P1-sw_0_0|e2|6|P5-sw_0_5|e13|7|node0_0_5_3
VLAN_0_Flow_32,450,977,node0_0_5_0|P1-sw_0_5|e9|3|P1-sw_0_4|e21|4|P5-sw_0_3|e25|3|node0_0_3_3
VLAN_0_Flow_33,225,673,node0_0_0_3|P0-sw_0_0|e1|7|P1-sw_0_1|e8|6|P1-sw_0_2|e15|5|P4-sw_0_3|e24|6|node0_0_3_2
VLAN_0_Flow_34,425,726,node0_0_5_0|P1-sw_0_5|e9|7|P1-sw_0_4|e21|5|P5-sw_0_3|e25|7|node0_0_3_3
VLAN_0_Flow_35,325,592,node0_0_2_3|P1-sw_0_2|e15|6|P1-sw_0_3|e21|5|P0-sw_0_4|e9|6|P4-sw_0_5|e12|5|node0_0_5_2
VLAN_0_Flow_37,300,1069,node0_0_2_3|P1-sw_0_2|e15|2|P2-sw_0_3|e22|1|node0_0_3_0
VLAN_0_Flow_38,250,890,node0_0_5_0|P0-sw_0_5|e2|4|P0-sw_0_0|e1|3|P1-sw_0_1|e8|4|P6-sw_0_2|e20|3|node0_0_2_4
VLAN_0_Flow_39,175,573,node0_0_0_4|P1-sw_0_0|e2|5|P1-sw_0_5|e9|6|P5-sw_0_4|e30|5|node0_0_4_3
VLAN_0_Flow_41,275,792,node0_0_5_0|P1-sw_0_5|e9|6|P1-sw_0_4|e21|5|P5-sw_0_3|e25|7|node0_0_3_3
VLAN_0_Flow_42,200,762,node0_0_2_0|P6-sw_0_2|e20|7|node0_0_2_4
VLAN_0_Flow_43,300,1095,node0_0_5_1|P1-sw_0_5|e9|2|P2-sw_0_4|e27|1|node0_0_4_0
VLAN_0_Flow_44,300,924,node0_0_2_0|P1-sw_0_2|e15|4|P1-sw_0_3|e21|3|P4-sw_0_4|e29|4|node0_0_4_2
VLAN_0_Flow_45,75,676,node0_0_4_1|P0-sw_0_4|e9|7|P5-sw_0_5|e13|6|node0_0_5_3
VLAN_0_Flow_46,125,751,node0_0_5_4|P0-sw_0_5|e2|5|P3-sw_0_0|e4|7|node0_0_0_1
VLAN_0_Flow_47,225,541,node0_0_5_4|P1-sw_0_5|e9|5|P4-sw_0_4|e29|6|node0_0_4_2
VLAN_0_Flow_48,275,642,node0_0_0_3|P1-sw_0_0|e2|6|P1-sw_0_5|e9|5|P4-sw_0_4|e29|7|node0_0_4_2
VLAN_0_Flow_49,375,838,node0_0_2_2|P0-sw_0_2|e8|7|P0-sw_0_1|e1|5|P1-sw_0_0|e2|7|P1-sw_0_5|e9|6|P1-sw_0_4|e21|7|P5-sw_0_3|e25|6|node0_0_3_3
VLAN_0_Flow_51,375,664,node0_0_2_3|P1-sw_0_2|e15|6|P1-sw_0_3|e21|7|P4-sw_0_4|e29|6|node0_0_4_2
VLAN_0_Flow_52,150,942,node0_0_5_4|P1-sw_0_5|e9|4|P5-sw_0_4|e30|3|node0_0_4_3
VLAN_0_Flow_53,350,523,node0_0_0_3|P0-sw_0_0|e1|5|P1-sw_0_1|e8|7|P1-sw_0_2|e15|6|P6-sw_0_3|e26|7|node0_0_3_4
VLAN_0_Flow_56,350,902,node0_0_2_1|P1-sw_0_2|e15|3|P1-sw_0_3|e21|4|P5-sw_0_4|e30|3|node0_0_4_3
VLAN_0_Flow_57,500,1049,node0_0_2_0|P1-sw_0_2|e15|1|P1-sw_0_3|e21|2|P5-sw_0_4|e30|1|node0_0_4_3
VLAN_0_Flow_58,250,1005,node0_0_4_1|P0-sw_0_4|e9|4|P5-sw_0_5|e13|3|node0_0_5_3
VLAN_0_Flow_59,300,964,node0_0_2_0|P0-sw_0_2|e8|4|P0-sw_0_1|e1|3|P1-sw_0_0|e2|4|P1-sw_0_5|e9|3|P6-sw_0_4|e31|4|node0_0_4_4
VLAN_0_Flow_60,100,922,node0_0_3_1|P2-sw_0_3|e22|4|node0_0_3_0
VLAN_0_Flow_61,400,1062,node0_0_0_4|P1-sw_0_0|e2|2|P1-sw_0_5|e9|1|P6-sw_0_4|e31|2|node0_0_4_4
VLAN_0_Flow_62,325,588,node0_0_2_3|P6-sw_0_2|e20|5|node0_0_2_4
VLAN_0_Flow_63,300,1045,node0_0_5_0|P1-sw_0_5|e9|2|P5-sw_0_4|e30|1|node0_0_4_3
VLAN_0_Flow_64,125,757,node0_0_0_2|P0-sw_0_0|e1|7|P1-sw_0_1|e8|6|P1-sw_0_2|e15|5|P4-sw_0_3|e24|7|node0_0_3_2
VLAN_0_Flow_66,400,875,node0_0_5_0|P1-sw_0_5|e9|4|P1-sw_0_4|e21|3|P4-sw_0_3|e24|4|node0_0_3_2
VLAN_0_Flow_67,50,677,node0_0_5_0|P4-sw_0_5|e12|7|node0_0_5_2
VLAN_0_Flow_68,200,809,node0_0_0_2|P2-sw_0_0|e3|7|node0_0_0_0
VLAN_0_Flow_70,350,972,node0_0_2_1|P0-sw_0_2|e8|4|P0-sw_0_1|e1|3|P1-sw_0_0|e2|4|P5-sw_0_5|e13|3|node0_0_5_3
VLAN_0_Flow_71,300,1064,node0_0_2_1|P1-sw_0_2|e15|2|P6-sw_0_3|e26|1|node0_0_3_4
VLAN_0_Flow_73,250,960,node0_0_3_1|P1-sw_0_3|e21|4|P0-sw_0_4|e9|3|P0-sw_0_5|e2|4|P3-sw_0_0|e4|3|node0_0_0_1
VLAN_0_Flow_74,100,984,node0_0_3_1|P5-sw_0_3|e25|4|node0_0_3_3
VLAN_0_Flow_75,200,824,node0_0_4_1|P4-sw_0_4|e29|7|node0_0_4_2
VLAN_0_Flow_76,500,871,node0_0_5_0|P1-sw_0_5|e9|4|P1-sw_0_4|e21|3|P6-sw_0_3|e26|4|node0_0_3_4
VLAN_0_Flow_77,300,626,node0_0_5_1|P1-sw_0_5|e9|7|P5-sw_0_4|e30|6|node0_0_4_3
VLAN_0_Flow_78,350,902,node0_0_2_2|P0-sw_0_2|e8|4|P0-sw_0_1|e1|3|P1-sw_0_0|e2|4|P5-sw_0_5|e13|3|node0_0_5_3
