TC2 scheduled/num_streams 154/260 = 59.23%
k: 3 (47.0, '%', 'unscheduled', 17, 'total', 32, 'e2e too large', [204, 131, 124, 79, 82, 59, 180, 73, 202, 24, 168, 58, 169, 61, 26, 93, 220], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 3750.0bytes k: 2 (87.0, '%', 'unscheduled', 8, 'total', 63, 'e2e too large', [193, 16], 'bandwidth violation', [157, 146, 71, 158, 76, 144])
 cycle_time: 125us bandwidth: 3750.0bytes k: 1 (51.0, '%', 'unscheduled', 81, 'total', 165, 'e2e too large', [], 'bandwidth violation', [122, 165, 182, 213, 30, 255, 56, 0, 245, 135, 172, 174, 191, 119, 29, 9, 214, 89, 50, 243, 95, 248, 111, 250, 55, 132, 252, 17, 181, 53, 142, 110, 236, 162, 52, 156, 199, 203, 259, 139, 40, 230, 147, 242, 224, 23, 104, 20, 235, 258, 32, 137, 36, 1, 13, 175, 22, 173, 231, 205, 208, 210, 226, 69, 195, 103, 246, 27, 65, 48, 47, 123, 167, 12, 91, 100, 21, 211, 72, 149, 77])
 cycle_time: 25us bandwidth: 2000.0bytes Stream: id 47 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_4_2 | period 40.0| deadline 21.64 | size 871| injection delay:1['node0_0_5_4', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q6', 'q7']
Stream: id 114 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_3_3 | period 40.0| deadline 23.16 | size 417| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_3']['q7', 'q5', 'q6', 'q5', 'q7', 'q6']
Stream: id 109 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_5_3 | period 40.0| deadline 22.72 | size 664| injection delay:1['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'node0_0_5_3']['q6', 'q7', 'q6', 'q7']
Stream: id 54 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_4_3 | period 40.0| deadline 22.64 | size 795| injection delay:1['node0_0_2_0', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q6', 'q7', 'q6', 'q5', 'q7']
Stream: id 258 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_4_2 | period 40.0| deadline 23.28 | size 660| injection delay:0['node0_0_2_0', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_2']['q6', 'q5', 'q6']
Stream: id 104 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_4_0 | period 40.0| deadline 21.8 | size 1170| injection delay:1['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_0']['q7', 'q6', 'q5']
Stream: id 213 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_4 | period 40.0| deadline 23.8 | size 528| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_4']['q7', 'q6', 'q7', 'q6', 'q5']
Stream: id 240 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_4_2 | period 40.0| deadline 24.36 | size 424| injection delay:1['node0_0_2_2', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q6', 'q5', 'q6', 'q5', 'q7']
Stream: id 135 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_4 | period 40.0| deadline 23.6 | size 781| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_4']['q7', 'q6', 'q7']
Stream: id 86 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_5_3 | period 40.0| deadline 22.36 | size 1204| injection delay:0['node0_0_5_1', 'sw_0_5', 'node0_0_5_3']['q7']
Stream: id 219 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_3_4 | period 40.0| deadline 23.24 | size 1162| injection delay:0['node0_0_3_1', 'sw_0_3', 'node0_0_3_4']['q7']
Stream: id 89 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_3_3 | period 40.0| deadline 22.96 | size 1311| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_3']['q7', 'q6', 'q5', 'q7']
Stream: id 149 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_4_3 | period 40.0| deadline 24.6 | size 793| injection delay:1['node0_0_5_1', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q7', 'q6']
Stream: id 53 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_3_4 | period 100.0| deadline 20.92 | size 776| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_4']['q7', 'q6', 'q5', 'q7']
Stream: id 238 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_3 | period 100.0| deadline 22.2 | size 418| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_3']['q6', 'q7', 'q6']
Stream: id 148 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_4_0 | period 40.0| deadline 27.08 | size 246| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_0']['q6', 'q5', 'q6', 'q7', 'q6']
Stream: id 87 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_4_3 | period 100.0| deadline 22.08 | size 502| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q7', 'q6', 'q5']
Stream: id 132 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_5_3 | period 40.0| deadline 24.96 | size 1085| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'node0_0_5_3']['q7', 'q6']
Stream: id 18 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_5_3 | period 100.0| deadline 23.36 | size 212| injection delay:0['node0_0_5_1', 'sw_0_5', 'node0_0_5_3']['q7']
Stream: id 153 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_5_2 | period 40.0| deadline 25.24 | size 1070| injection delay:1['node0_0_3_1', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'node0_0_5_2']['q6', 'q7', 'q6', 'q7', 'q6']
Stream: id 225 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_3_2 | period 40.0| deadline 24.24 | size 1448| injection delay:0['node0_0_3_1', 'sw_0_3', 'node0_0_3_2']['q6']
Stream: id 11 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_5_2 | period 40.0| deadline 24.64 | size 1433| injection delay:1['node0_0_5_0', 'sw_0_5', 'node0_0_5_2']['q7']
